checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,billing,0.5,classification,50,50,1152,200,0.8700000047683716,,0.895,-0.024999995231628436,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,billing,0.5,regression,200,200,1152,200,,1083.3839111328125,1160.7777,-77.3937888671876,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,billing,1.0,classification,20,20,2195,200,0.875,,0.92,-0.04500000000000004,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,billing,1.0,regression,200,200,2195,200,,1137.906494140625,1186.553,-48.64650585937511,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,helpdesk,0.5,classification,10,10,50,200,0.699999988079071,,0.725,-0.025000011920928933,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,helpdesk,0.5,regression,50,50,50,200,,0.1956038624048233,0.196,-0.0003961375951767043,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,helpdesk,1.0,classification,100,93,93,200,0.6800000071525574,,0.785,-0.10499999284744266,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,helpdesk,1.0,regression,50,50,93,200,,0.1870327591896057,0.2021,-0.015067240810394289,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,receipt,0.5,classification,1,1,34,200,0.6899999976158142,,0.68,0.00999999761581416,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,receipt,0.5,regression,50,34,34,200,,73.50579833984375,97.1067,-23.600901660156254,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,receipt,1.0,classification,1,1,41,200,0.6949999928474426,,0.785,-0.0900000071525574,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,receipt,1.0,regression,5,5,41,200,,63.31757736206055,102.524,-39.206422637939454,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,roadtraffic_10000,0.5,classification,20,20,79,200,0.8949999809265137,,0.85,0.044999980926513694,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,roadtraffic_10000,0.5,regression,50,50,79,200,,4405.052734375,4459.555,-54.50226562500029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,roadtraffic_10000,1.0,regression,100,100,166,200,,4375.82275390625,4592.9824,-217.15964609374987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,sepsis,0.5,classification,20,20,71,200,0.5450000166893005,,0.4458,0.09920001668930056,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,sepsis,0.5,regression,100,71,71,200,,1092.4022216796875,703.1954,389.20682167968755,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,sepsis,1.0,classification,20,20,225,200,0.5849999785423279,,0.4663,0.11869997854232789,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_10.pth,10,sepsis,1.0,regression,100,100,225,200,,1369.88525390625,936.7253,433.15995390625005,False,best metric; smallest k on ties
