checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,billing,0.5,classification,50,50,1152,200,0.875,,0.895,-0.020000000000000018,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,billing,0.5,regression,200,200,1152,200,,1082.330810546875,1160.7777,-78.4468894531251,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,billing,1.0,classification,100,100,2195,200,0.875,,0.92,-0.04500000000000004,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,billing,1.0,regression,200,200,2195,200,,1143.3363037109375,1186.553,-43.21669628906261,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,helpdesk,0.5,classification,20,20,50,200,0.6949999928474426,,0.725,-0.03000000715255735,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,helpdesk,0.5,regression,50,50,50,200,,0.1944659948348999,0.196,-0.0015340051651001052,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,helpdesk,1.0,classification,100,93,93,200,0.6899999976158142,,0.785,-0.09500000238418582,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,helpdesk,1.0,regression,100,93,93,200,,0.1860673874616623,0.2021,-0.01603261253833771,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,receipt,0.5,classification,1,1,34,200,0.6899999976158142,,0.68,0.00999999761581416,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,receipt,0.5,regression,50,34,34,200,,77.01434326171875,97.1067,-20.092356738281254,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,receipt,1.0,classification,10,10,41,200,0.699999988079071,,0.785,-0.08500001192092899,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,receipt,1.0,regression,50,41,41,200,,63.487815856933594,102.524,-39.03618414306641,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,roadtraffic_10000,0.5,classification,50,50,79,200,0.8799999952316284,,0.85,0.02999999523162844,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,roadtraffic_10000,0.5,regression,50,50,79,200,,4484.86181640625,4459.555,25.30681640624971,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,roadtraffic_10000,1.0,regression,100,100,166,200,,4388.29052734375,4592.9824,-204.69187265624987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,sepsis,0.5,classification,50,50,71,200,0.5799999833106995,,0.4458,0.1341999833106995,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,sepsis,0.5,regression,100,71,71,200,,1079.3675537109375,703.1954,376.17215371093755,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,sepsis,1.0,classification,20,20,225,200,0.6050000190734863,,0.4663,0.13870001907348634,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_legacy_mae_clip5/model_epoch_10.pth,10,sepsis,1.0,regression,100,100,225,200,,1378.8792724609375,936.7253,442.15397246093755,False,best metric; smallest k on ties
