task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,example_selector_screen,,billing,1,natural,4,13,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1287.0371931828452,2220.089239770441,416.52934971878574,1.0090029707201664,-0.17630194868749482,-0.04589970525788156,-0.1763019486874946,-0.2533725404685434,0.9759615384615384,8541.777025662936,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,billing,1,natural,16,61,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,8.0625,2.875,0.6600627505249093,1,1.0,1,1.0,1.0,0.8798076923076923,0.5266968325791855,0.4741075917546506,0.47732426303854875,0.4922985815722942,0.4,0.9711538461538461,0.7294871794871794,0.9118589743589745,0.7254864253393665,1.314218481663242,0.21875270786480944,0.06617011420586139,0.12559120467313045,,,,,,,,,,,,,
regression,example_selector_screen,,billing,1,natural,16,61,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1033.1403474441174,1680.4988847028778,595.5379034768048,0.8099545881529805,0.05574989564925559,0.20830511823088738,0.0557498956492557,0.2818490008219071,0.9567307692307693,4775.500002640944,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,billing,1,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,34.04807692307692,2.923076923076923,0.7048842247326375,1,1.0,1,1.0,1.0,0.8942307692307693,0.6432096530920061,0.6035662812133401,0.6424814179531161,0.5962715284635808,0.2,0.9807692307692307,0.8666666666666668,0.9629629629629629,0.7239366515837103,0.8971705655472728,0.17142934435137597,0.06165438532699098,0.021604372264432518,,,,,,,,,,,,,
regression,example_selector_screen,,billing,1,natural,64,255,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,845.5278876773759,1785.307728363832,318.70879621140375,0.662871403415625,0.22722038864713723,0.15892893247686513,0.22722038864713734,0.18947674121110514,0.8413461538461539,2367.741280409006,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,billing,1,natural,128,500,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,69.35576923076923,2.9423076923076925,0.7150523705964731,1,1.0,1,1.0,1.0,0.9038461538461539,0.659763197586727,0.6219591084296966,0.6493623340321453,0.6251947021043925,0.2,0.9807692307692307,0.8166666666666668,0.9074074074074073,0.8071442936148818,0.8204296123476448,0.15419540717733074,0.04582751867985505,0.018163156816249037,,,,,,,,,,,,,
regression,example_selector_screen,,billing,1,natural,128,500,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,848.8189232658668,1766.911080267663,311.8749888562437,0.6654514878942415,0.2242125100897444,0.1675957231971812,0.2242125100897444,0.20609470171089295,0.8557692307692307,2536.698813255017,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,helpdesk,0,natural,1,2,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,0.7793103448275862,0.7793103448275862,1.793103448275862,0.3896551724137931,1,1.0,1,1.0,1.0,0.6689655172413793,0.27197802197802196,0.1506410256410256,0.20161198450672133,0.22942971581155827,0.7142857142857143,0.7034482758620689,0.2857142857142857,1.0,0.9519230769230769,8.309774931885942,0.6352461999042779,0.2914313385045411,0.42829885764469355,,,,,,,,,,,,,
regression,example_selector_screen,,helpdesk,0,natural,1,2,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.4044721486756561,0.4843042999003943,0.40097819355628417,0.4968421831521973,-0.6231558113813966,-0.5789862251670821,-0.6231558113813966,-1.5103365765899288,0.0,0.0003573466991556102,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,helpdesk,0,natural,4,9,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,0.7862068965517242,2.1655172413793102,1.903448275862069,0.49012091356918935,1,1.0,1,1.0,1.0,0.6758620689655173,0.2746153846153846,0.1537179487179487,0.20655270655270655,0.2325174825174825,0.7142857142857143,0.7103448275862069,0.42857142857142855,1.0,0.6407692307692308,8.287332790769408,0.6077004680241718,0.09275208435893544,0.18490000046753832,,,,,,,,,,,,,
