checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,billing,0.5,classification,50,50,1152,200,0.7950000166893005,,0.895,-0.09999998331069948,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,billing,0.5,regression,200,200,1152,200,,1055.71728515625,1160.7777,-105.0604148437501,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,billing,1.0,classification,20,20,2195,200,0.8199999928474426,,0.92,-0.10000000715255741,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,billing,1.0,regression,200,200,2195,200,,1062.0198974609375,1186.553,-124.53310253906261,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,helpdesk,0.5,classification,20,20,50,200,0.6949999928474426,,0.725,-0.03000000715255735,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,helpdesk,0.5,regression,20,20,50,200,,0.18327514827251434,0.196,-0.012724851727485664,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,helpdesk,1.0,classification,20,20,93,200,0.6949999928474426,,0.785,-0.0900000071525574,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,helpdesk,1.0,regression,10,10,93,200,,0.17355842888355255,0.2021,-0.02854157111644745,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,receipt,0.5,classification,1,1,34,200,0.6499999761581421,,0.68,-0.03000002384185796,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,200,,80.50301361083984,97.1067,-16.60368638916016,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,receipt,1.0,classification,10,10,41,200,0.699999988079071,,0.785,-0.08500001192092899,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,receipt,1.0,regression,10,10,41,200,,64.01068878173828,102.524,-38.51331121826172,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,roadtraffic_10000,0.5,classification,50,50,79,200,0.875,,0.85,0.025000000000000022,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,roadtraffic_10000,0.5,regression,50,50,79,200,,4422.52099609375,4459.555,-37.03400390625029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,roadtraffic_10000,1.0,regression,100,100,166,200,,4422.55517578125,4592.9824,-170.42722421874987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,sepsis,0.5,classification,100,71,71,200,0.4650000035762787,,0.4458,0.019200003576278712,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,sepsis,0.5,regression,20,20,71,200,,1067.3404541015625,703.1954,364.14505410156255,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,sepsis,1.0,classification,10,10,225,200,0.5350000262260437,,0.4663,0.06870002622604371,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets_clip5/model_epoch_40.pth,40,sepsis,1.0,regression,100,100,225,200,,1349.6826171875,936.7253,412.95731718750005,False,best metric; smallest k on ties
