checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8849999904632568,,0.895,-0.010000009536743182,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1077.4156494140625,1160.7777,-83.3620505859376,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,billing,1.0,classification,10,10,2195,200,0.8849999904632568,,0.92,-0.035000009536743204,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1137.2635498046875,1186.553,-49.28945019531261,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,helpdesk,0.5,classification,10,10,50,200,0.699999988079071,,0.725,-0.025000011920928933,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,200,,0.20579411089420319,0.196,0.009794110894203178,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,helpdesk,1.0,classification,20,20,93,200,0.6899999976158142,,0.785,-0.09500000238418582,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,helpdesk,1.0,regression,50,50,93,200,,0.19020193815231323,0.2021,-0.01189806184768677,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,receipt,0.5,classification,1,1,34,200,0.699999988079071,,0.68,0.019999988079070996,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,200,,71.0611343383789,97.1067,-26.045565661621097,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,receipt,1.0,classification,1,1,41,200,0.7149999737739563,,0.785,-0.07000002622604373,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,receipt,1.0,regression,50,41,41,200,,63.2230224609375,102.524,-39.3009775390625,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,50,50,79,200,0.8849999904632568,,0.85,0.03499999046325686,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,50,50,79,200,,4340.802734375,4459.555,-118.75226562500029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,200,,4347.59375,4592.9824,-245.38864999999987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,sepsis,0.5,classification,100,71,71,200,0.574999988079071,,0.4458,0.12919998807907107,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,200,,1058.6416015625,703.1954,355.44620156250005,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,sepsis,1.0,classification,10,10,225,200,0.6050000190734863,,0.4663,0.13870001907348634,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_20.pth,20,sepsis,1.0,regression,200,200,225,200,,1393.91845703125,936.7253,457.19315703125005,False,best metric; smallest k on ties
