epoch,classification_train_loss,classification_validation_loss,classification_train_accuracy,classification_validation_accuracy,classification_validation_balanced_accuracy,classification_validation_macro_f1,regression_train_loss,regression_validation_loss,regression_train_mae_hours,regression_validation_mae_hours,regression_validation_r2,gradient_clip_fraction,gradient_preclip_norm,step_success_fraction,base_lr
1,2.268688572458474,2.2547507177699697,0.2649614635432829,0.2069341618191433,0.1963876255533912,0.1631495624526658,1.9697830009816297,1.911409161307595,978.239745061789,902.1034587513317,0.32383908466859296,0.9033333333333333,2.0992612840738585,0.9966666666666667,0.0001
2,2.192919512184299,2.145611134442416,0.2598914075544448,0.23713252968607276,0.2262150780721144,0.18914058038287543,2.244231742191938,1.8654643839055842,811.7854292127821,889.1463075117631,0.35857793959704315,0.94,2.4156505627520133,0.9933333333333333,9.939057285945933e-05
3,2.122221436039094,2.087228211489591,0.2664463001691906,0.21997928284697854,0.21134736050258984,0.17048057448118925,2.023929101023181,1.8457373055544766,678.8362406303143,891.0011431954124,0.3691316138614308,0.9133333333333333,2.4838669069608055,1.0,9.757729755661012e-05
4,2.088780571432675,2.040684396570379,0.2772361008464311,0.22637132830152398,0.21623170646754178,0.1760908846150745,1.908082177849854,1.833621859550476,846.8857938221523,876.2843379107388,0.3701776537028226,0.8866666666666667,2.563007198969523,1.0,9.460482294732422e-05
5,1.9965097393308366,1.9937569553201848,0.3632367927123845,0.2425920027883275,0.23626803132620725,0.19400309822098774,1.8356148635639864,1.8405250852758235,686.364732686211,916.7502444874157,0.3683953827077692,0.8166666666666667,2.469995569984118,1.0,9.054634122155992e-05
6,1.9960852527036899,1.9503060362555764,0.3284326142317985,0.26558556379500986,0.2590815370733088,0.21787737699394877,1.9451325097504784,1.8245577053590254,610.8882623349919,892.4547760703347,0.3811195980418812,0.8033333333333333,2.6022572242220243,1.0,8.550178566873411e-05
7,1.9421396844181014,1.9105437235398726,0.3586522417222404,0.2877073968799577,0.2811973311684348,0.23739201143722644,2.026400914226753,1.8249858726154675,1220.9081141499505,895.5919377587059,0.3748936219648881,0.7933333333333333,2.6327832948168117,1.0,7.959536998847744e-05
8,1.8845849524136462,1.8898611935702236,0.3922040107486635,0.30002463823854625,0.2942298271439292,0.25107216293161566,1.963496403629277,1.8251008012078025,990.745637225456,896.732849294489,0.3760247067971663,0.72,2.621944770614306,1.0,7.297252973710758e-05
9,1.8865670329433377,1.863128131086176,0.3601674868736827,0.31356590428344794,0.3072405078194358,0.2647301966155117,1.9341055649082834,1.8221499919891357,915.4726419836525,883.8448630246249,0.37711641463366424,0.7733333333333333,2.7778795782725014,1.0,6.579634122155991e-05
10,1.8791581011480756,1.8430395451459018,0.37701058534146664,0.3371190838180857,0.3301287493245168,0.2862779372795062,2.028370662377431,1.8268533619967373,692.5808664468618,906.7570603110573,0.3774053725329312,0.7166666666666667,2.759848808546861,1.0,5.824350601949144e-05
11,1.873849137833244,1.8295803611928767,0.3803022389642035,0.3406364177203019,0.334438696842302,0.29282107508995314,1.8925274513863228,1.8121876824985852,977.82595377355,874.8233002749356,0.3826504349708557,0.6966666666666667,2.6765915357073147,1.0,5.050000000000001e-05
12,1.9138350290911539,1.8243292353369973,0.3395461397936089,0.34423224844959377,0.3385854156857187,0.2967817299067974,1.7220749460160731,1.8148068406365134,614.179688423872,883.3306902105159,0.3776427995074879,0.6933333333333334,2.423222588400046,1.0,4.275649398050859e-05
13,1.7987259777195483,1.80969284881245,0.4572466440674548,0.3428478498629874,0.3366559012369676,0.2951315265487541,1.810247650787012,1.8234751332889905,544.9502544118398,895.3121398578991,0.3741014383055947,0.73,2.7764139550924303,1.0,3.520365877844011e-05
14,1.8281529558115992,1.8024064302444458,0.4501933247551488,0.3469694966588145,0.3416825732724233,0.2987157820977948,1.9596797258623184,1.8151911280371926,671.2192042381532,883.4106349945068,0.3766844922846014,0.6933333333333334,2.994132413268089,1.0,2.8027470262892444e-05
15,1.8620645423863558,1.7917912873354824,0.3967802733852207,0.3441984459881736,0.34084321795539424,0.29688746719197795,1.8931989993480658,1.8217448429627852,810.526238220417,900.3709315386685,0.3739448569037698,0.72,2.6558096400896707,1.0,2.1404630011522593e-05
16,1.8423876623054602,1.7848359021273525,0.40072925241021623,0.3448857627037162,0.3413838744163513,0.2976736988533627,1.823304187761594,1.8223250129006126,723.6807106423051,903.7346293709495,0.37166316400874744,0.73,2.728380729854107,1.0,1.5498214331265904e-05
17,1.7770446673371738,1.7778602079911665,0.4349738123889529,0.3477845115619442,0.34442105008797214,0.29993032884191384,1.7955345921887609,1.8214949044314297,783.2805750498514,899.5798400532116,0.3719099055637013,0.7,2.482386282980442,1.0,1.0453658778440109e-05
18,1.7840976247916351,1.7745374657891013,0.4087885524061695,0.34486285214653145,0.33852430365302344,0.29448259537192906,1.9144323068229776,1.8226318792863325,974.4279473706296,907.1139223792336,0.37222674218091095,0.7333333333333333,2.624610539575418,1.0,6.3951770526757955e-06
19,1.759253372527935,1.772101098840887,0.4460234659622398,0.34843689906735253,0.34563519196076825,0.3001296513459899,2.208540922945196,1.8230033245953647,1097.6843869873971,905.1487938274037,0.37103203209963714,0.7066666666666667,2.7539040701587996,1.0,3.422702443389901e-06
20,1.760172275330523,1.771113233132796,0.4468762069173004,0.34840196985721844,0.34558784419840033,0.3003355452621525,1.964310472055992,1.8229458332061768,786.5048949792518,905.6492947665128,0.371099054813385,0.6533333333333333,2.70486257592837,1.0,1.609427140540686e-06
