checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,classification,20,20,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,regression,200,200,1152,200,,1076.8763427734375,1160.7777,-83.9013572265626,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,classification,5,5,2195,200,0.875,,0.92,-0.04500000000000004,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,regression,200,200,2195,200,,1131.4853515625,1186.553,-55.06764843750011,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,helpdesk,0.5,classification,10,10,50,200,0.699999988079071,,0.725,-0.025000011920928933,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,helpdesk,0.5,regression,50,50,50,200,,0.19705744087696075,0.196,0.0010574408769607468,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,helpdesk,1.0,classification,100,93,93,200,0.6850000023841858,,0.785,-0.09999999761581424,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,helpdesk,1.0,regression,50,50,93,200,,0.18538367748260498,0.2021,-0.01671632251739502,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,receipt,0.5,classification,1,1,34,200,0.7350000143051147,,0.68,0.0550000143051147,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,receipt,0.5,regression,50,34,34,200,,72.71685791015625,97.1067,-24.389842089843754,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,receipt,1.0,classification,1,1,41,200,0.7049999833106995,,0.785,-0.08000001668930057,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,receipt,1.0,regression,50,41,41,200,,63.287723541259766,102.524,-39.236276458740235,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,roadtraffic_10000,0.5,classification,20,20,79,200,0.8650000095367432,,0.85,0.015000009536743186,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,roadtraffic_10000,0.5,regression,50,50,79,200,,4467.79638671875,4459.555,8.241386718749709,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,roadtraffic_10000,1.0,regression,100,100,166,200,,4446.603515625,4592.9824,-146.37888437499987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,sepsis,0.5,classification,20,20,71,200,0.5199999809265137,,0.4458,0.0741999809265137,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,sepsis,0.5,regression,100,71,71,200,,1074.5955810546875,703.1954,371.40018105468755,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,sepsis,1.0,classification,20,20,225,200,0.5849999785423279,,0.4663,0.11869997854232789,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,sepsis,1.0,regression,100,100,225,200,,1376.37939453125,936.7253,439.65409453125005,False,best metric; smallest k on ties
