task,experiment,log,repetition,support_scenario,case_budget,support_prefixes,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,nll,macro_retrieval_given_pool,macro_decision_given_retrieval,multiclass_brier,ece_10,aurc
classification,baseline_lstm_natural_ce,sepsis,0,natural,1,7,567,0.2310405643738977,0.18617899815921127,0.11836058133914552,0.15152338843385577,0.14660700719824643,0.46153846153846156,0.8871252204585538,2.587091779939367,1.0,0.34576099658139237,0.903093671392306,0.12094739745691341,0.7023616184470203
classification,baseline_lstm_logit_adjustment,sepsis,0,natural,1,7,567,0.06701940035273368,0.057965916197623514,-0.0205369241192412,0.18882451486807206,0.0830410021885771,0.6923076923076923,0.8871252204585538,2.876088428467543,1.0,0.08384146341463415,0.9333338420515989,0.030458066998763196,0.8652647753372601
classification,baseline_lstm_class_weighted_ce,sepsis,0,natural,1,7,567,0.2310405643738977,0.18617899815921127,0.11836058133914552,0.15152338843385577,0.14660700719824643,0.46153846153846156,0.8871252204585538,2.587091779939367,1.0,0.34576099658139237,0.903093671392306,0.12094739745691341,0.7023616184470203
classification,baseline_lstm_balanced_softmax,sepsis,0,natural,1,7,567,0.23633156966490299,0.1938745023703949,0.12669737756792782,0.16586011022393388,0.1614111587516803,0.46153846153846156,0.8871252204585538,2.6128977274044014,1.0,0.3600526472593049,0.9056058385485101,0.1290373110871046,0.7413343194844185
classification,baseline_weighted_logistic,sepsis,0,natural,1,7,567,0.1781305114638448,0.1514539705760871,0.08074180145742767,0.12785160101336573,0.10635610482082082,0.46153846153846156,0.8871252204585538,6.812658492362168,1.0,0.2812716596413046,1.1036860221200404,0.29895886316123077,0.8938375654577545
classification,baseline_random_forest,sepsis,0,natural,1,7,567,0.2804232804232804,0.24035114606625835,0.1770470749051132,0.18768174804065949,0.1799507211090174,0.46153846153846156,0.8871252204585538,5.083760657267138,1.0,0.4463664141230512,0.9310410934744269,0.1686155202821869,0.5887214196189344
classification,baseline_gaussian_nb,sepsis,0,natural,1,7,567,0.13227513227513227,0.10365798293390552,0.028962814845064307,0.10075883945296124,0.07675628899277617,0.46153846153846156,0.8871252204585538,23.976124142922124,1.0,0.1925076825915388,1.7354497354497354,0.8677248677248677,0.8488070221784746
classification,baseline_tabpfn,sepsis,0,natural,1,7,567,0.2328042328042328,0.19685203431134146,0.1299230371706199,0.15149267980384687,0.14155603984952653,0.46153846153846156,0.8871252204585538,4.768987138331099,1.0,0.3655823494353485,0.858036560415287,0.08177966281535134,0.5582914792966278
classification,baseline_lstm_natural_ce,sepsis,0,natural,2,17,567,0.19047619047619047,0.15261653791054336,0.08200124940308863,0.17995562130177514,0.12650691920190607,0.5384615384615384,0.9576719576719577,2.436794107172759,1.0,0.24800187410463292,0.8882665619640573,0.0705408560246807,0.907092049988844
classification,baseline_lstm_logit_adjustment,sepsis,0,natural,2,17,567,0.021164021164021163,0.020584045584045585,-0.06103395061728395,0.02696078431372549,0.022360957387935806,0.8461538461538461,0.9576719576719577,3.020320531284486,1.0,0.033449074074074076,0.9483599126047875,0.0740587657139859,0.9829917910364706
classification,baseline_lstm_class_weighted_ce,sepsis,0,natural,2,17,567,0.23985890652557318,0.22810390062418348,0.16377922567619876,0.1595064845064845,0.1538091819190412,0.5384615384615384,0.9576719576719577,2.466508120891674,1.0,0.3706688385142981,0.8937544665024644,0.112685733528995,0.8221544069539708
classification,baseline_lstm_balanced_softmax,sepsis,0,natural,2,17,567,0.26807760141093473,0.1928844012601229,0.1256247680317998,0.20051285437587152,0.16526292507871537,0.5384615384615384,0.9576719576719577,2.523464086727882,1.0,0.31343715204769973,0.8977236354318903,0.15150063540096634,0.8670486256557618
classification,baseline_weighted_logistic,sepsis,0,natural,2,17,567,0.31216931216931215,0.21907521464224328,0.15399814919576355,0.20308793344728643,0.19271868510056722,0.38461538461538464,0.9576719576719577,3.481422665593531,1.0,0.35599722379364535,0.9044252936162163,0.18436667951666674,0.5935022260482345
classification,baseline_random_forest,sepsis,0,natural,2,17,567,0.4126984126984127,0.3044172630260145,0.24645203494484905,0.2832549020014921,0.27223111333323496,0.38461538461538464,0.9576719576719577,2.759993086686495,1.0,0.4946780524172736,0.7444550264550265,0.05404761904761907,0.4140799451223092
classification,baseline_gaussian_nb,sepsis,0,natural,2,17,567,0.32098765432098764,0.214165489738368,0.14867928054989865,0.19273250490252292,0.1828094881184564,0.46153846153846156,0.9576719576719577,18.45590155515635,1.0,0.348018920824848,1.356271393737277,0.6780179014108413,0.6938151613639589
classification,baseline_tabpfn,sepsis,0,natural,2,17,567,0.400352733686067,0.2353082601912684,0.17158394854054076,0.22521848968240882,0.2265007498905975,0.38461538461538464,0.9576719576719577,2.8649769952543003,1.0,0.3823759228108111,0.7765957144923672,0.11619837529549944,0.44565551828413436
classification,baseline_lstm_natural_ce,sepsis,0,natural,4,31,567,0.24867724867724866,0.16440760880630917,0.09477490954016826,0.15697011446749234,0.13447419707126348,0.6153846153846154,0.9576719576719577,2.386170464650389,1.0,0.2671623643102524,0.8783888106821724,0.13023306706647603,0.8373660098937538
classification,baseline_lstm_logit_adjustment,sepsis,0,natural,4,31,567,0.0,0.0,-0.08333333333333333,0.0,0.0,1.0,0.9576719576719577,3.2327381623041678,1.0,0.0,0.9640827617166273,0.10369541480959008,1.0
classification,baseline_lstm_class_weighted_ce,sepsis,0,natural,4,31,567,0.2980599647266314,0.2619111367369207,0.20040373146499738,0.23368782665193893,0.20795921653049668,0.46153846153846156,0.9576719576719577,2.4432811930165244,1.0,0.42560559719749613,0.8888359636670244,0.18114862623879097,0.759040990027196
classification,baseline_lstm_balanced_softmax,sepsis,0,natural,4,31,567,0.2751322751322751,0.1966779462122044,0.1297344417298881,0.20198101528678056,0.15221965808280183,0.5384615384615384,0.9576719576719577,2.485315864542324,1.0,0.31960166259483225,0.8894869990229801,0.16628523565158643,0.7944218513024233
classification,baseline_weighted_logistic,sepsis,0,natural,4,31,567,0.31393298059964725,0.2715102707936961,0.21080279335983743,0.2502004143147378,0.21737364717888819,0.38461538461538464,0.9576719576719577,3.3339060133770815,1.0,0.4412041900397562,0.9473127882336766,0.24237762965378956,0.6790404894818747
classification,baseline_random_forest,sepsis,0,natural,4,31,567,0.42504409171075835,0.3271889086256822,0.2711213176778223,0.29080781838168424,0.2822505429728945,0.38461538461538464,0.9576719576719577,3.036119354987418,1.0,0.5316819765167335,0.7448303350970018,0.142310405643739,0.4172244609340502
classification,baseline_gaussian_nb,sepsis,0,natural,4,31,567,0.4991181657848324,0.31193977694651664,0.254601425025393,0.33455475322436584,0.31058211632313343,0.38461538461538464,0.9576719576719577,13.080722931857169,1.0,0.5069021375380895,0.9970861858265336,0.4958561262341612,0.4333440620116579
classification,baseline_tabpfn,sepsis,0,natural,4,31,567,0.41798941798941797,0.306414333431488,0.24861552788411198,0.2987853810590277,0.26724975400430834,0.38461538461538464,0.9576719576719577,2.8079595354271265,1.0,0.497923291826168,0.7722981297877924,0.10468778976056942,0.45563306994484803
classification,baseline_lstm_natural_ce,sepsis,0,natural,8,67,567,0.42504409171075835,0.1745317161114867,0.1057426924541106,0.1272346832769589,0.1421881033631981,0.7692307692307693,0.9682539682539683,2.0697043000990565,1.0,0.2521013677165919,0.8048691617223642,0.1888425685136827,0.49872941424809714
classification,baseline_lstm_logit_adjustment,sepsis,0,natural,8,67,567,0.07054673721340388,0.021967995508141495,-0.05953467153284672,0.08900727650727652,0.03518607828952657,0.8461538461538461,0.9682539682539683,2.9744215425930456,1.0,0.03173154906731549,0.9347997390322995,0.04625574706434551,0.9559882605740132
classification,baseline_lstm_class_weighted_ce,sepsis,0,natural,8,67,567,0.23633156966490299,0.1915638762652929,0.12419419928740062,0.18507699764715382,0.1695548504852933,0.5384615384615384,0.9682539682539683,2.353012163206393,1.0,0.2767033768276453,0.8640272571732183,0.10851306258002706,0.7625460430405899
classification,baseline_lstm_balanced_softmax,sepsis,0,natural,8,67,567,0.47442680776014107,0.25995161682901713,0.1982809182314352,0.22745880304710636,0.24100819768571125,0.5384615384615384,0.9682539682539683,2.4159235395440315,1.0,0.37548566875302464,0.8684187128605743,0.36279512949721526,0.396693136264286
classification,baseline_weighted_logistic,sepsis,0,natural,8,67,567,0.3562610229276896,0.2867306259731041,0.22729151147086277,0.2770302859954371,0.2575768903345693,0.38461538461538464,0.9682539682539683,2.5660901622002887,1.0,0.41416645973892824,0.7516671210232323,0.12722052678458834,0.543082900212586
classification,baseline_random_forest,sepsis,0,natural,8,67,567,0.4973544973544973,0.3353318525172464,0.27994284022701693,0.3662203926601139,0.33316155122303015,0.3076923076923077,0.9682539682539683,2.7013135467527856,1.0,0.4843682314138003,0.6559765432098765,0.0899206349206349,0.33224418731238936
classification,baseline_gaussian_nb,sepsis,0,natural,8,67,567,0.3897707231040564,0.29776334650695646,0.23924362538253616,0.3115944459551995,0.28183442951015236,0.38461538461538464,0.9682539682539683,14.422128626315084,1.0,0.43010261162115937,1.2183528651817557,0.6068668990243111,0.5057811264344356
classification,baseline_tabpfn,sepsis,0,natural,8,67,567,0.5220458553791887,0.3233851325813863,0.2670005602965018,0.37411077607825904,0.3280215853310037,0.3076923076923077,0.9682539682539683,2.3255219427401017,1.0,0.46711185817311346,0.6555562030713624,0.08338702184918484,0.36459383931057715
classification,baseline_lstm_natural_ce,sepsis,0,natural,16,144,567,0.42151675485008816,0.20194233411126009,0.13543752862053174,0.17503983009387414,0.1827736963406503,0.6923076923076923,0.9964726631393298,1.7504803422687025,1.0,0.23865912213148918,0.7367327937554605,0.07780157339741102,0.48328520682592235
classification,baseline_lstm_logit_adjustment,sepsis,0,natural,16,144,567,0.35978835978835977,0.2594736053626793,0.19776307247623592,0.29949658336138574,0.26362009535161046,0.46153846153846156,0.9964726631393298,2.434440386121885,1.0,0.3066506245195301,0.8660559444552411,0.21485013465721034,0.44856328403203233
classification,baseline_lstm_class_weighted_ce,sepsis,0,natural,16,144,567,0.2998236331569665,0.3711270866456654,0.31872101053280416,0.29556956833652176,0.25477611852843646,0.38461538461538464,0.9964726631393298,2.2308491450005046,1.0,0.43860473876305917,0.8338315718946175,0.10688830498192045,0.6372145319550814
classification,baseline_lstm_balanced_softmax,sepsis,0,natural,16,144,567,0.3915343915343915,0.2796639446373036,0.21963594002374554,0.24773585402938886,0.25154939625129524,0.46153846153846156,0.9964726631393298,2.0719010876585346,1.0,0.3305119345713588,0.7778232196913905,0.15939989517815736,0.39952746353126756
classification,baseline_weighted_logistic,sepsis,0,natural,16,144,567,0.3915343915343915,0.4290663416753857,0.38148853681500117,0.3679998582239282,0.3439399846568969,0.23076923076923078,0.9964726631393298,1.9067712202205687,1.0,0.507078403798183,0.723985161799359,0.08279362835253515,0.49674626662145144
classification,baseline_random_forest,sepsis,0,natural,16,144,567,0.5238095238095238,0.4734911067479292,0.42961536564358993,0.46253374400096264,0.4345672786604906,0.15384615384615385,0.9964726631393298,2.064562567459471,1.0,0.5595803988839164,0.6155687389770723,0.09148148148148152,0.32967111909316005
classification,baseline_gaussian_nb,sepsis,0,natural,16,144,567,0.35978835978835977,0.36221435999310564,0.30906555665919777,0.35284043157839046,0.3120142137780805,0.38461538461538464,0.9964726631393298,13.869536056324932,1.0,0.42807151635548846,1.2417993885216905,0.6094708841510331,0.42543124371938745
classification,baseline_tabpfn,sepsis,0,natural,16,144,567,0.5978835978835979,0.435863802403516,0.388852452603809,0.554804949449133,0.46294608889029476,0.23076923076923078,0.9964726631393298,1.3648598218830759,1.0,0.5151117664768825,0.5544371574252823,0.0785144457945881,0.23694948433706017
classification,baseline_lstm_natural_ce,sepsis,0,natural,32,361,567,0.544973544973545,0.2941203538751798,0.2352970500314448,0.3563189212247717,0.28443714261008457,0.46153846153846156,0.9982363315696648,1.3426932917920997,1.0,0.3186303833647781,0.6065243381981873,0.12416384751519198,0.2725033898128309
classification,baseline_lstm_logit_adjustment,sepsis,0,natural,32,361,567,0.4673721340388007,0.5145105316825732,0.4740530759894543,0.3915533647872959,0.3931772340459378,0.23076923076923078,0.9982363315696648,1.9144968128767788,1.0,0.47405307598945434,0.7350372923288794,0.22525967495464003,0.34501175281055796
classification,baseline_lstm_class_weighted_ce,sepsis,0,natural,32,361,567,0.41622574955908287,0.5006419819452324,0.4590288137740017,0.3712757376684884,0.36028615458730245,0.23076923076923078,0.9982363315696648,1.811904602266183,1.0,0.542362147107335,0.7256703655504636,0.10844834336790878,0.3701479736358413
classification,baseline_lstm_balanced_softmax,sepsis,0,natural,32,361,567,0.47619047619047616,0.45115187903916,0.40541453562575663,0.36866737952275785,0.36878811630344555,0.3076923076923077,0.9982363315696648,1.65666622183377,1.0,0.48874786895909,0.6556406582352595,0.13316631215957947,0.2945021746388257
classification,baseline_weighted_logistic,sepsis,0,natural,32,361,567,0.43386243386243384,0.45194444858633925,0.4062731526352008,0.41709103710221795,0.38021663102772013,0.23076923076923078,0.9982363315696648,1.7759713847398966,1.0,0.48960648596853423,0.700888737367051,0.07801928031191557,0.4116450217988935
classification,baseline_random_forest,sepsis,0,natural,32,361,567,0.54673721340388,0.404439726762586,0.3548097039928015,0.42816513124727823,0.41287065838418174,0.3076923076923077,0.9982363315696648,2.0261287028642627,1.0,0.4381430373261348,0.5849693121693121,0.12412698412698414,0.2668831530454378
classification,baseline_gaussian_nb,sepsis,0,natural,32,361,567,0.2857142857142857,0.3623869839897714,0.30925256598891904,0.2868701079886683,0.29509431389995766,0.38461538461538464,0.9982363315696648,15.184832764085458,1.0,0.3925858993222524,1.372302018451694,0.6721687708775163,0.4959080771422792
classification,baseline_tabpfn,sepsis,0,natural,32,361,567,0.6137566137566137,0.4640446363042309,0.4193816893295834,0.5314804232703907,0.484423019250781,0.23076923076923078,0.9982363315696648,1.113202623960788,1.0,0.5027150226629168,0.48808686727149053,0.034491352997728264,0.17879785551887048
classification,baseline_lstm_natural_ce,sepsis,0,natural,64,698,567,0.6225749559082893,0.45008102072244094,0.40425443911597764,0.5574212145848862,0.4679563371731032,0.23076923076923078,1.0,1.0820667099434509,1.0,0.45008102072244094,0.5025392297258635,0.08330158626486593,0.19528684504841337
