task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,structured_fmv3,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,0.8509615384615384,0.3737556561085973,0.3041729512317748,0.34886008457437023,0.35807616252865315,0.6,0.9038461538461539,0.4,1.0,0.9343891402714932,3.1463620192982384,0.3173134683228556,0.25017370663815597,0.25958467046273614,,,,,,,,
regression,structured_fmv3,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1098.7349326686349,887.946731582013,0.8613790005205977,-0.004201004629028837,-0.004201004629028615,0.1673911245434223,0.28846153846153844,1235.4719992792996
classification,structured_fmv3,main,billing,0,natural,2,7,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.1971153846153846,2.610576923076923,0.48124999999999996,0.8605769230769231,0.3776018099547511,0.30844645550527905,0.35143643987040213,0.36169964340030114,0.6,0.9038461538461539,0.4,1.0,0.9440045248868778,3.1023776919089423,0.3065978297758327,0.2740555383806903,0.26575606505842714,,,,,,,,
regression,structured_fmv3,,billing,0,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,913.7191435210659,436.3595700028527,0.7163315365709589,0.16489623239333706,0.16489623239333717,0.09995574531366702,0.8269230769230769,2099.3891156949303
classification,structured_fmv3,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,0.7980769230769231,0.38235294117647056,0.3137254901960784,0.3643674870367434,0.33842832843708803,0.5,0.9134615384615384,0.5,1.0,0.7647058823529412,2.973004499538317,0.3690662960001946,0.25460335983369775,0.27527154839666346,,,,,,,,
regression,structured_fmv3,,billing,0,natural,4,15,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,860.9396214529138,292.53178152434884,0.6749537932997974,0.21313466325486208,0.2131346632548622,0.1305937910640571,0.8653846153846154,1906.3166787145008
classification,structured_fmv3,main,billing,0,natural,8,28,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,4.375,2.639423076923077,0.5983347534818122,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.5,1.0,0.7705882352941177,2.904512275522641,0.31702296485685394,0.26450889056210153,0.25250180703100467,,,,,,,,
regression,structured_fmv3,,billing,0,natural,8,28,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,867.9618145043185,318.67621229430506,0.6804590061152216,0.20671665186080168,0.2067166518608018,0.12692007207230815,0.8653846153846154,1816.51410844492
classification,structured_fmv3,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7933333333333333,2.7745714135749204,0.2609408864225073,0.1551820843682288,0.16314579448800376,,,,,,,,
regression,structured_fmv3,,billing,0,natural,16,59,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,861.8824311758611,375.16496983042634,0.6756929310778791,0.2122729718288343,0.21227297182883442,0.24714615768456782,0.9423076923076923,4136.9571442797205
classification,structured_fmv3,main,billing,0,natural,32,118,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,19.528846153846153,2.639423076923077,0.6584032737456753,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.35433048716216675,0.36792502971193314,0.6,0.9134615384615384,0.47285067873303166,0.9457013574660633,0.7933333333333333,2.7372161784697884,0.2479855362027344,0.1452823400541822,0.19184183239375363,,,,,,,,
regression,structured_fmv3,,billing,0,natural,32,118,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,821.5145181715998,406.836223494754,0.64404555961199,0.24916767462598488,0.249167674625985,0.28351126897069967,0.9278846153846154,3579.8021243013436
