task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,structured_fmv3,main,billing,0,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9519230769230769,35.69230769230769,2.831730769230769,0.694379386101618,0.8846153846153846,0.3911357466063349,0.3234841628959277,0.3544970917860689,0.37155199872591177,0.6,0.9519230769230769,0.5470588235294118,0.7815126050420168,0.6567948717948718,1.7812686143753047,0.2550657101944717,0.2037242042107396,0.06204170708575634,,,,,,,,
regression,structured_fmv3,,billing,0,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1053.7419257315792,618.7706271134866,0.8261056782719587,0.03692085417792934,0.03692085417792934,0.11408440190751645,0.9038461538461539,5581.493015153369
classification,structured_fmv3,main,billing,0,natural,128,514,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,69.79326923076923,2.889423076923077,0.7114977411489416,0.9182692307692307,0.475,0.41666666666666663,0.46628389154704947,0.46800919744844977,0.5,0.9711538461538461,0.5333333333333333,0.6666666666666667,0.5714285714285714,1.253756686411555,0.21313915614313078,0.21854552283258694,0.04169637042031083,,,,,,,,
regression,structured_fmv3,,billing,0,natural,128,514,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,970.4954811588202,535.9661320501309,0.760842677077655,0.1130048675156311,0.1130048675156311,0.14978069315147458,0.9134615384615384,4310.4194057381965
classification,structured_fmv3,main,billing,1,natural,1,3,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.75,0.75,1.7644230769230769,0.375,0.6971153846153846,0.2826923076923077,0.20299145299145296,0.22125,0.2441351981351981,0.7,0.7403846153846154,0.3,1.0,0.9423076923076924,7.416955634558893,0.5190136586127205,0.16291788666812523,0.30714557145373944,,,,,,,,
regression,structured_fmv3,,billing,1,natural,1,3,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1190.688040320403,431.12358899969104,0.9334677942858639,-0.08824256946613684,-0.08824256946613684,-0.3476516742602731,0.22115384615384615,157.07394813071306
classification,structured_fmv3,main,billing,1,natural,2,6,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.75,1.5,1.7644230769230769,0.44999999999999996,0.7211538461538461,0.2923076923076923,0.2136752136752137,0.22592592592592592,0.2521804511278195,0.7,0.7403846153846154,0.3,1.0,0.9743589743589745,7.369280082617019,0.48921457841947397,0.1894920517220129,0.2899662035837279,,,,,,,,
regression,structured_fmv3,,billing,1,natural,2,6,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1170.166876482795,406.4893100488471,0.9173797469594491,-0.06948702367509618,-0.06948702367509596,-0.33040140054566614,0.32211538461538464,216.44248352768997
classification,structured_fmv3,main,billing,1,natural,4,13,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.1490384615384617,2.610576923076923,0.5269001831501832,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3565689710890695,0.3686960157197207,0.6,0.9038461538461539,0.4,1.0,0.9632352941176471,3.0879179857945114,0.3047791643272983,0.26300503294995153,0.2699896322539095,,,,,,,,
regression,structured_fmv3,,billing,1,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,2805.4575725622003,1498.3502257383439,2.1994042129771585,-1.5640791323240149,-1.5640791323240144,-2.8639305043329886,0.9951923076923077,15824.979801757714
classification,structured_fmv3,main,billing,1,natural,8,27,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,4.543269230769231,2.610576923076923,0.6066451930422517,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.35581770348695985,0.3684737534857577,0.6,0.9038461538461539,0.3911764705882353,0.9779411764705882,0.9838709677419355,3.010937364807553,0.2665053276333728,0.2080235141996683,0.27406253985686196,,,,,,,,
regression,structured_fmv3,,billing,1,natural,8,27,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1438.712432546872,840.2674949853422,1.1279123292947428,-0.3149272196404842,-0.314927219640484,-0.13890872339340987,1.0,9964.462527865882
classification,structured_fmv3,main,billing,1,natural,16,61,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,8.0625,2.875,0.6600627505249093,0.8701923076923077,0.5228506787330317,0.46983408748114636,0.4754440853264382,0.48753168513782325,0.4,0.9711538461538461,0.7383484162895927,0.9229355203619909,0.7300210949764522,1.5302365811201126,0.3057277480567676,0.2800847905276208,0.1271341538695236,,,,,,,,
regression,structured_fmv3,,billing,1,natural,16,61,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1031.3481021957605,536.2748824269675,0.8085495154873031,0.05738793811557674,0.05738793811557685,0.2863381181515302,0.9759615384615384,6351.441374281334
classification,structured_fmv3,main,billing,1,natural,32,126,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,16.16826923076923,2.894230769230769,0.6916607489043199,0.8798076923076923,0.5036199095022624,0.44846656611362495,0.47765074681910386,0.4741597975178786,0.4,0.9807692307692307,0.9,1.0,0.5595776772247361,1.1271792424169513,0.2605850209083106,0.24825222755910947,0.05497855217790079,,,,,,,,
regression,structured_fmv3,,billing,1,natural,32,126,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,880.1204631517523,431.2344630554435,0.6899910636736084,0.19560411978081294,0.19560411978081294,0.3116959039165249,0.9663461538461539,5583.8732469071
classification,structured_fmv3,main,billing,1,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,34.04807692307692,2.923076923076923,0.7048842247326375,0.9038461538461539,0.6617993966817497,0.6242215518686108,0.6508147512864493,0.6270233437528032,0.2,0.9807692307692307,0.8637254901960784,0.9596949891067538,0.7568220668220669,1.0626355703552532,0.22687532008241657,0.2221282424837473,0.026442302921875858,,,,,,,,
regression,structured_fmv3,,billing,1,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,818.2843075564261,302.8175964274942,0.6415131602967054,0.2521199615229184,0.2521199615229185,0.2267673470906395,0.9326923076923077,3868.7584941904342
classification,structured_fmv3,main,billing,1,natural,128,500,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,69.35576923076923,2.9423076923076925,0.7150523705964731,0.9134615384615384,0.6646274509803921,0.6273638344226579,0.659069825614637,0.6349455997228433,0.2,0.9807692307692307,0.8166666666666668,0.9074074074074073,0.8125490196078431,0.9763667568573573,0.19727676969951796,0.2054854236517895,0.023040771373417365,,,,,,,,
regression,structured_fmv3,,billing,1,natural,128,500,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,843.390405281638,391.4525549768223,0.6611956739972482,0.22917396444176819,0.22917396444176819,0.20308045390873564,0.9278846153846154,3676.3200835505436
classification,structured_fmv3,main,billing,2,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,0.8557692307692307,0.3756787330316742,0.3063097033685269,0.34833769405197973,0.35915161215666497,0.6,0.9038461538461539,0.4,1.0,0.9391968325791855,3.143423773937019,0.3155596502168248,0.244081654522687,0.2415186872057022,,,,,,,,
regression,structured_fmv3,,billing,2,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1301.8346659508086,1247.7363727042166,1.0206037962915722,-0.189826263404119,-0.1898262634041188,0.20275095809922583,0.3605769230769231,2372.849295375761
classification,structured_fmv3,main,billing,2,natural,2,7,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.1971153846153846,2.610576923076923,0.48124999999999996,0.8653846153846154,0.37952488687782804,0.3105832076420312,0.3524929620097743,0.36340504239385824,0.6,0.9038461538461539,0.4,1.0,0.9488122171945701,3.0994113020755387,0.3022272695406634,0.23041110169606532,0.2589488675364382,,,,,,,,
regression,structured_fmv3,,billing,2,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,903.6158658252426,470.93199273089886,0.7084108352399537,0.17413023534575944,0.17413023534575944,0.21343114922968154,0.8846153846153846,3289.4515403649225
classification,structured_fmv3,main,billing,2,natural,4,13,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.9038461538461537,2.610576923076923,0.5210622710622709,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3568130738573302,0.3688684313205143,0.6,0.9038461538461539,0.4,1.0,0.9632352941176471,3.0996825089813074,0.31110506033774793,0.266867900795164,0.24522989299885503,,,,,,,,
regression,structured_fmv3,,billing,2,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,941.6655200763664,508.21657341738455,0.7382407534253911,0.139354330904493,0.13935433090449312,0.1524213111239323,0.8173076923076923,2800.1282498241226
classification,structured_fmv3,main,billing,2,natural,8,35,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9326923076923077,4.480769230769231,2.730769230769231,0.6185897435897437,0.875,0.38540723981900454,0.31711915535444946,0.3502310128954865,0.36617438613466413,0.6,0.9326923076923077,0.4833333333333333,0.9666666666666666,0.770814479638009,2.2644071428025945,0.24432952448865136,0.16065527223414808,0.08906405812461878,,,,,,,,
regression,structured_fmv3,,billing,2,natural,8,35,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,965.2020119921847,640.5651665978999,0.7566927378662307,0.11784289249968916,0.11784289249968927,0.2397058348273663,0.9182692307692307,4098.2350475008625
classification,structured_fmv3,main,billing,2,natural,16,64,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,7.951923076923077,2.8173076923076925,0.6667753665432711,0.8653846153846154,0.4746199095022624,0.4162443438914027,0.48087708516242317,0.46343334944134484,0.4,0.9615384615384616,0.5220588235294118,0.7457983193277311,0.8247052947052947,1.5805994953178164,0.25386457261830037,0.23086558686427314,0.09112295357379908,,,,,,,,
regression,structured_fmv3,,billing,2,natural,16,64,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,906.9882451320843,567.7797333856524,0.7110546910329503,0.17104801179280904,0.17104801179280915,0.25863474515029716,0.9182692307692307,3892.514209565869
classification,structured_fmv3,main,billing,2,natural,32,127,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,16.153846153846153,2.9038461538461537,0.684445285207259,0.8557692307692307,0.5148914027149322,0.46099044746103573,0.46016750043125754,0.48041700393341813,0.4,0.9807692307692307,0.7098793363499246,0.7887548181665829,0.6344939591998416,1.1405012517994142,0.2577153730076318,0.2325147778864079,0.052451431404966734,,,,,,,,
regression,structured_fmv3,,billing,2,natural,32,127,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,927.4653278315387,566.8493769930141,0.7271081799180199,0.15233275444796468,0.1523327544479648,0.32768698009044517,0.9519230769230769,5071.806992521983
classification,structured_fmv3,main,billing,2,natural,64,251,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,33.09615384615385,2.923076923076923,0.7003139614676783,0.8798076923076923,0.6511659125188537,0.612406569465393,0.6314093137254903,0.6070517682836245,0.2,0.9807692307692307,0.7864253393665159,0.873805932629462,0.830324074074074,1.0866168086236856,0.23025743878858101,0.18422782142182975,0.052974311492671476,,,,,,,,
regression,structured_fmv3,,billing,2,natural,64,251,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,891.9231402257277,584.3184434778159,0.6992440489743993,0.1848169318771654,0.1848169318771654,0.2520191716625152,0.9519230769230769,4428.841872536181
classification,structured_fmv3,main,billing,2,natural,128,529,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,69.23557692307692,2.9423076923076925,0.7192565843935077,0.9182692307692307,0.6685867269984918,0.6317630299983242,0.6422039072039072,0.6413507989594947,0.2,0.9807692307692307,0.7333333333333333,0.8148148148148148,0.8725037707390649,0.9564727475311194,0.1946855883841233,0.18096418416080204,0.02908299923031538,,,,,,,,
regression,structured_fmv3,,billing,2,natural,128,529,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,895.289650493727,473.3233501892654,0.7018833035968479,0.181740072397502,0.18174007239750212,0.25151667265817046,0.9471153846153846,4520.719268310799
classification,structured_fmv3,main,billing,3,natural,1,1,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.15384615384615385,0.15384615384615385,0.4423076923076923,0.07692307692307693,0.009615384615384616,0.1,0.0,0.0009615384615384616,0.001904761904761905,0.9,0.009615384615384616,0.1,1.0,1.0,27.36533822058308,1.9807692307692308,0.9903846153846154,0.975051523329898,,,,,,,,
regression,structured_fmv3,,billing,3,natural,1,1,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1187.7736855821026,411.26774745633884,0.9311830175876822,-0.0855789625587473,-0.0855789625587473,-0.34715737801242286,0.0,0.0
classification,structured_fmv3,main,billing,3,natural,2,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.206730769230769,0.4519230769230769,0.7019230769230769,0.33269230769230773,0.25854700854700857,0.26849217638691325,0.27544277944277945,0.6,0.75,0.4,1.0,0.8317307692307693,7.285334763065984,0.5535790225701273,0.14030907630017447,0.516599179162794,,,,,,,,
regression,structured_fmv3,,billing,3,natural,2,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1175.4181263288165,409.999237853398,0.9214965873450219,-0.07428646184179288,-0.07428646184179266,-0.34112410826779827,0.32211538461538464,205.1958792867266
classification,structured_fmv3,main,billing,3,natural,4,10,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.4038461538461537,2.206730769230769,0.5590659340659339,0.7451923076923077,0.35,0.27777777777777773,0.2735181521337001,0.28863678804855275,0.6,0.75,0.4,1.0,0.875,7.195397986755262,0.5105164151589776,0.15623218691807506,0.49886703224190465,,,,,,,,
regression,structured_fmv3,,billing,3,natural,4,10,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1134.4944496004775,276.84445237168256,0.8894135118827113,-0.036883812611466116,-0.036883812611465894,-0.2904835066981062,0.5769230769230769,850.4042512880503
classification,structured_fmv3,main,billing,3,natural,8,26,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,4.466346153846154,2.610576923076923,0.610320929070929,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.35581770348695985,0.3684737534857577,0.6,0.9134615384615384,0.45,0.9,0.7705882352941177,2.9278953502776326,0.3063234089118989,0.27699854908945976,0.2627701209947755,,,,,,,,
regression,structured_fmv3,,billing,3,natural,8,26,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,907.5904695076749,262.04846448914213,0.7115268189459816,0.17049760213075227,0.17049760213075238,0.08046640895615864,0.8461538461538461,1822.5188984396614
classification,structured_fmv3,main,billing,3,natural,16,55,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.5,2.610576923076923,0.6439376380443378,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.35581770348695985,0.3684737534857577,0.6,0.9134615384615384,0.43054298642533934,0.8610859728506787,0.7933333333333333,2.823634698649554,0.2661074877319863,0.1699685589829879,0.21398741817017639,,,,,,,,
regression,structured_fmv3,,billing,3,natural,16,55,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,856.9781828274196,407.87278656837,0.6718481306486938,0.21675526411974544,0.21675526411974544,0.2058294362466846,0.9326923076923077,3585.916834888577
classification,structured_fmv3,main,billing,3,natural,32,114,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,19.567307692307693,2.610576923076923,0.6606439918467735,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.41990950226244345,0.8398190045248869,0.8,2.7969408907957254,0.25539063094684306,0.14870609521744316,0.1871041271891183,,,,,,,,
regression,structured_fmv3,,billing,3,natural,32,114,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,807.0154707045118,329.12112573394916,0.6326786915491288,0.262419240221747,0.2624192402217471,0.24231495733844755,0.9326923076923077,3222.510325582021
classification,structured_fmv3,main,billing,3,natural,64,239,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,35.92788461538461,2.8846153846153846,0.6932737707247303,0.8653846153846154,0.5973197586726998,0.5525775096363331,0.5534550054625955,0.5643278995412105,0.3,0.9807692307692307,0.6388763197586727,0.7098625775096363,0.7585585345249211,1.1884061361679874,0.2641237434412328,0.23017648563942955,0.05017931983321565,,,,,,,,
regression,structured_fmv3,,billing,3,natural,64,239,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,974.3088081928684,537.9021302661508,0.7638322241754872,0.10951963488607475,0.10951963488607475,0.17984380504486575,0.9086538461538461,4370.352211450249
classification,structured_fmv3,main,billing,3,natural,128,489,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,71.375,2.9278846153846154,0.7091055948894998,0.9182692307692307,0.6696048265460031,0.6328942517177812,0.616439053608865,0.6342433510217862,0.2,0.9807692307692307,0.625,0.6944444444444444,0.9411726998491705,1.0191864552371896,0.20882120824648928,0.21374537596931328,0.04157748657504474,,,,,,,,
regression,structured_fmv3,,billing,3,natural,128,489,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,888.2889136820922,391.7840805152059,0.6963949119034418,0.18813847362272929,0.1881384736227294,0.21658745277381775,0.9038461538461539,3628.236568791176
classification,structured_fmv3,main,billing,4,natural,1,3,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.75,0.75,1.7644230769230769,0.375,0.6971153846153846,0.2826923076923077,0.20299145299145296,0.22125,0.2441351981351981,0.7,0.7403846153846154,0.3,1.0,0.9423076923076924,7.417527424337541,0.518801372364292,0.1668952784620011,0.3071713164214487,,,,,,,,
regression,structured_fmv3,,billing,4,natural,1,3,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1121.6810293608612,333.6326483310622,0.8793681307893445,-0.025172844756731205,-0.025172844756731205,-0.2777067803000173,0.3701923076923077,277.6020107394279
classification,structured_fmv3,main,billing,4,natural,2,6,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.75,1.5,1.7644230769230769,0.44999999999999996,0.7211538461538461,0.2923076923076923,0.2136752136752137,0.22592592592592592,0.2521804511278195,0.7,0.7403846153846154,0.3,1.0,0.9743589743589745,7.369927533826734,0.48994728725331815,0.17920129110249003,0.2921991515832247,,,,,,,,
regression,structured_fmv3,,billing,4,natural,2,6,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1247.5025884126158,1012.9579083983608,0.9780088907738365,-0.14016885721342098,-0.14016885721342098,0.04522008331158556,0.9423076923076923,5001.593615467277
classification,structured_fmv3,main,billing,4,natural,4,14,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.394230769230769,2.610576923076923,0.5618589743589744,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3565689710890695,0.3686960157197207,0.6,0.9038461538461539,0.4,1.0,0.9632352941176471,3.060788254873986,0.2817310794449602,0.22501164608385166,0.2768918839582148,,,,,,,,
regression,structured_fmv3,,billing,4,natural,4,14,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1280.1013668853327,1147.2317255463163,1.0035654671455554,-0.16996287314815817,-0.16996287314815794,0.23664511747447015,0.7692307692307693,4587.481072591684
classification,structured_fmv3,main,billing,4,natural,8,37,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9326923076923077,4.860576923076923,2.7596153846153846,0.6220467032967034,0.8942307692307693,0.396,0.32888888888888895,0.35741517741517737,0.375549606764391,0.6,0.9423076923076923,0.6,1.0,0.66,2.1087575103862553,0.2987210001885963,0.2748364234446744,0.036049443354083194,,,,,,,,
regression,structured_fmv3,,billing,4,natural,8,37,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,963.9833696623062,588.2358155367754,0.7557373546515065,0.1189566842028209,0.11895668420282102,0.30031644640200494,0.9326923076923077,4508.0863924718815
classification,structured_fmv3,main,billing,4,natural,16,64,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9326923076923077,8.961538461538462,2.7596153846153846,0.6495602110986727,0.8942307692307693,0.3950588235294118,0.327843137254902,0.3568922305764411,0.3749645920463892,0.6,0.9423076923076923,0.6,1.0,0.6584313725490196,2.0499314021912545,0.2642611525672726,0.23452640917305467,0.06961426985376634,,,,,,,,
regression,structured_fmv3,,billing,4,natural,16,64,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,807.2409442043144,376.64911980568286,0.6328554567835172,0.2622131662103665,0.2622131662103665,0.27326268396762,0.9134615384615384,3190.934071503092
classification,structured_fmv3,main,billing,4,natural,32,125,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,17.033653846153847,2.8461538461538463,0.6935247525000027,0.8990384615384616,0.6073122171945702,0.5636802413273002,0.5248551557375087,0.5401846273100435,0.3,0.9807692307692307,0.7333333333333333,0.8148148148148149,0.6653902714932127,1.1494172598313166,0.2731965176267219,0.28944972002942204,0.06005439601706301,,,,,,,,
regression,structured_fmv3,,billing,4,natural,32,125,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,806.6534495317487,331.9740493215795,0.632394876566379,0.2627501134966166,0.2627501134966167,0.24697308976330945,0.8894230769230769,2779.6823982519654
classification,structured_fmv3,main,billing,4,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,34.73076923076923,2.923076923076923,0.7061909797461421,0.9086538461538461,0.6637224736048265,0.6263583040053627,0.6092529064227178,0.6141227747201587,0.2,0.9807692307692307,0.7916666666666667,0.8796296296296295,0.7559879336349924,1.0736514378595632,0.2420880923995218,0.24455614828343444,0.025166060818607797,,,,,,,,
regression,structured_fmv3,,billing,4,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,844.9643302693725,344.079691641738,0.6624295893780364,0.22773545820436758,0.2277354582043677,0.21288890870178334,0.9230769230769231,3251.1430027426013
