checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,billing,0.5,classification,50,50,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,billing,0.5,regression,200,200,1152,200,,1072.15771484375,1160.7777,-88.6199851562501,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,billing,1.0,classification,20,20,2195,200,0.8899999856948853,,0.92,-0.030000014305114786,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,billing,1.0,regression,200,200,2195,200,,1130.881103515625,1186.553,-55.67189648437511,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,helpdesk,0.5,classification,10,10,50,200,0.699999988079071,,0.725,-0.025000011920928933,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,helpdesk,0.5,regression,20,20,50,200,,0.19141270220279694,0.196,-0.0045872977972030715,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,helpdesk,1.0,classification,50,50,93,200,0.6899999976158142,,0.785,-0.09500000238418582,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,helpdesk,1.0,regression,50,50,93,200,,0.18178263306617737,0.2021,-0.020317366933822634,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,receipt,0.5,classification,20,20,34,200,0.6899999976158142,,0.68,0.00999999761581416,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,200,,74.0447769165039,97.1067,-23.061923083496097,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,receipt,1.0,classification,20,20,41,200,0.7250000238418579,,0.785,-0.05999997615814212,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,receipt,1.0,regression,50,41,41,200,,63.10185241699219,102.524,-39.42214758300781,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,roadtraffic_10000,0.5,classification,50,50,79,200,0.8799999952316284,,0.85,0.02999999523162844,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,roadtraffic_10000,0.5,regression,50,50,79,200,,4344.66455078125,4459.555,-114.89044921875029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,roadtraffic_10000,1.0,regression,100,100,166,200,,4333.83203125,4592.9824,-259.15036874999987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,sepsis,0.5,classification,50,50,71,200,0.5,,0.4458,0.054200000000000026,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,sepsis,0.5,regression,20,20,71,200,,1037.2689208984375,703.1954,334.07352089843755,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,sepsis,1.0,classification,20,20,225,200,0.6000000238418579,,0.4663,0.13370002384185792,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,sepsis,1.0,regression,100,100,225,200,,1374.9456787109375,936.7253,438.22037871093755,False,best metric; smallest k on ties
