epoch,phase,task,metric,mean
2,train,regression,head/regression/branch_2/mae_hours,839.9903846503862
2,train,regression,head/regression/branch_2/weight_mean,0.24568476445145077
2,train,regression,head/regression/branch_3/mae_hours,860.4778968898299
2,train,regression,head/regression/branch_3/weight_mean,0.24383649600097557
2,train,regression,head/regression/selector/log_weight/abs_mean,0.08460783577384123
2,train,regression,head/regression/selector/effective_support/mean,16.83606292375552
2,train,regression,head/regression/selector/attention_entropy_mean,0.9096111382534301
2,validation,classification,head/classification/accuracy,0.23425781813374355
2,validation,classification,head/classification/episode_accuracy,0.23425781455906955
2,validation,classification,head/classification/episode_balanced_accuracy,0.2228765623136
2,validation,classification,head/classification/episode_macro_f1,0.18492939327420158
2,validation,classification,head/classification/nll,2.532175358767679
2,validation,classification,head/classification/true_probability_mean,0.1685630222125215
2,validation,classification,head/classification/max_probability_mean,0.34232954227784157
2,validation,classification,head/classification/entropy_mean,0.679714229387656
2,validation,classification,head/classification/probability_margin_mean,0.1855770510263023
2,validation,classification,head/classification/local_class_coverage,0.2724009791029267
2,validation,classification,head/classification/gate/mean,0.2724009791029267
2,validation,classification,head/classification/prototype_variances/mean,0.0004986615813672832
2,validation,classification,head/classification/selector/log_weight/abs_mean,0.2632857030602251
2,validation,classification,head/classification/selector/effective_support/mean,15.654459593259633
2,validation,classification,head/classification/selector/attention_entropy_mean,0.6865896782750277
2,validation,regression,head/regression/mae_hours,907.3685817718506
2,validation,regression,head/regression/rmse_hours,1220.1049218611283
2,validation,regression,head/regression/median_ae_hours,735.9712207100608
2,validation,regression,head/regression/bias_hours,-187.42792737483978
2,validation,regression,head/regression/relative_mae,15.465073119510304
2,validation,regression,head/regression/r2,0.34774480624632403
2,validation,regression,head/regression/branch_weight_entropy_mean,0.9991234703497454
2,validation,regression,head/regression/branch_0/mae_hours,898.1999697251754
2,validation,regression,head/regression/branch_0/weight_mean,0.2694999196312644
2,validation,regression,head/regression/branch_1/mae_hours,908.3353176116943
2,validation,regression,head/regression/branch_1/weight_mean,0.24830252474004572
2,validation,regression,head/regression/branch_2/mae_hours,934.7049834511497
2,validation,regression,head/regression/branch_2/weight_mean,0.24307110499251972
2,validation,regression,head/regression/branch_3/mae_hours,947.2621764269742
2,validation,regression,head/regression/branch_3/weight_mean,0.23912644521756607
2,validation,regression,head/regression/selector/log_weight/abs_mean,0.11538874527270143
2,validation,regression,head/regression/selector/effective_support/mean,16.715273943814363
2,validation,regression,head/regression/selector/attention_entropy_mean,0.7163643836975098
3,train,classification,head/classification/accuracy,0.275385565827202
3,train,classification,head/classification/episode_accuracy,0.2753855653347508
3,train,classification,head/classification/episode_balanced_accuracy,0.19758560153385324
3,train,classification,head/classification/episode_macro_f1,0.15411046116102126
3,train,classification,head/classification/nll,2.2816559010258484
3,train,classification,head/classification/true_probability_mean,0.18499012232743156
3,train,classification,head/classification/max_probability_mean,0.3235882712240482
3,train,classification,head/classification/entropy_mean,0.7055845261592714
3,train,classification,head/classification/probability_margin_mean,0.15507021324672451
3,train,classification,head/classification/local_class_coverage,0.32397548384980684
3,train,classification,head/classification/gate/mean,0.32397548384980684
3,train,classification,head/classification/prototype_variances/mean,0.0009178059203813124
3,train,classification,head/classification/selector/log_weight/abs_mean,0.36559456226393006
3,train,classification,head/classification/selector/effective_support/mean,17.216309110328872
3,train,classification,head/classification/selector/attention_entropy_mean,0.8190649432396625
3,train,regression,head/regression/mae_hours,681.2809349783536
3,train,regression,head/regression/rmse_hours,994.1977358061691
3,train,regression,head/regression/median_ae_hours,455.6870962833536
3,train,regression,head/regression/bias_hours,-215.21603768365136
3,train,regression,head/regression/relative_mae,8.336875771654062
3,train,regression,head/regression/r2,0.3723501008132408
3,train,regression,head/regression/branch_weight_entropy_mean,0.9974556947576588
3,train,regression,head/regression/branch_0/mae_hours,699.8744063541807
3,train,regression,head/regression/branch_0/weight_mean,0.2816478579208769
3,train,regression,head/regression/branch_1/mae_hours,677.5372321819438
3,train,regression,head/regression/branch_1/weight_mean,0.24922873542226595
3,train,regression,head/regression/branch_2/mae_hours,700.6801681452785
3,train,regression,head/regression/branch_2/weight_mean,0.2386046695298162
3,train,regression,head/regression/branch_3/mae_hours,714.3153715659832
