checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,1218,,93.89446258544922,97.1067,-3.212237414550785,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,1.0,classification,10,10,41,1218,0.7249589562416077,,0.785,-0.060041043758392365,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,1.0,regression,50,41,41,1218,,78.20442199707031,102.524,-24.31957800292969,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,3.0,classification,20,20,137,1218,0.7348111867904663,,0.8,-0.06518881320953374,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,3.0,regression,100,100,137,1218,,83.53961944580078,101.7245,-18.184880554199225,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,5.0,classification,50,50,242,1218,0.7479474544525146,,0.785,-0.03705254554748538,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,5.0,regression,200,200,242,1218,,85.24794006347656,99.905,-14.657059936523439,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,10.0,classification,50,50,440,1218,0.7520525455474854,,0.805,-0.0529474544525147,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,10.0,regression,100,100,440,1218,,80.22791290283203,100.8993,-20.671387097167965,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,20.0,classification,50,50,957,1218,0.7775040864944458,,0.805,-0.027495913505554248,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,20.0,regression,200,200,957,1218,,81.47843170166016,99.0821,-17.60366829833984,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,50.0,classification,50,50,2386,1218,0.8201970458030701,,0.85,-0.02980295419692991,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,50.0,regression,100,100,2386,1218,,77.93229675292969,98.0772,-20.144903247070317,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,100.0,classification,50,50,4607,1218,0.8333333134651184,,0.85,-0.01666668653488157,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,receipt,100.0,regression,100,100,4607,1218,,77.5444107055664,94.4677,-16.923289294433587,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,0.5,classification,20,20,79,3461,0.8720023036003113,,0.85,0.0220023036003113,True,best metric; smallest k on ties
