epoch,classification_train_loss,classification_validation_loss,classification_train_accuracy,classification_validation_accuracy,regression_train_loss,regression_validation_loss,regression_train_mae_hours,regression_validation_mae_hours,gradient_clip_fraction,gradient_preclip_norm,step_success_fraction,base_lr
1,4.156404180699084,4.493444421074607,0.2626499695628751,0.19614328938512574,2.4811636316242502,2.2614441134712915,977.5323180298307,871.3365457708186,0.9933333333333333,5.918811508760614,0.9833333333333333,0.0001
2,4.018615699138771,4.104642737995494,0.25727469215789345,0.22858801860487477,2.564603766584708,2.3164254318584097,815.2010080175462,880.9056658311324,1.0,7.056563559373219,1.0,9.939057285945933e-05
3,3.8551426595257174,4.016298467462713,0.2613476856723358,0.21747865186769866,2.2983386491907054,2.172124895182523,683.327443043939,864.2645750912753,1.0,6.846459872722626,1.0,9.757729755661012e-05
4,3.7683527383928985,3.9141182032498447,0.2780804724613698,0.2347783760396135,2.1577060717303738,2.1867632432417436,848.2741698634868,875.7148076837713,1.0,6.929146626790365,1.0,9.460482294732422e-05
5,3.492108949998609,3.8014250235124067,0.3672091856161518,0.24703777763088314,1.9784814921859044,2.043981432914734,683.0510767332089,871.3378001126376,1.0,5.900404272476832,1.0,9.054634122155992e-05
6,3.5715122172018376,3.745503295551647,0.3195663313646959,0.2650488558242392,2.0926196180722294,2.040908997709101,615.830186998143,864.4526625546542,1.0,6.068392281134924,1.0,8.550178566873411e-05
7,3.469015547522792,3.682857036590576,0.3474338537882152,0.2742239706023749,2.254966392033342,1.9957684820348567,1233.0963698400967,859.0403890609741,1.0,6.718041346073151,1.0,7.959536998847744e-05
8,3.3399019451702343,3.6482236818833784,0.37986749687015403,0.27435166878996203,2.1473156229979327,1.956227714365179,992.6864085359638,853.004747910933,1.0,5.784715003967285,1.0,7.297252973710758e-05
9,3.4240458334906627,3.597367373379794,0.3385071919561836,0.27720459653382046,2.0929660971571757,1.9552887244658037,924.8051631508804,851.9702659953724,0.9933333333333333,5.959023337364197,1.0,6.579634122155991e-05
10,3.3778300103214054,3.580910075794567,0.3538713620896424,0.2836315711985001,2.1654014197679667,1.968845551664179,706.8482859807136,856.3221647089177,1.0,6.259344659646352,1.0,5.824350601949144e-05
11,3.3601607970501246,3.5477390722794966,0.3566118760910453,0.2857622530166819,2.0433996247278676,1.9471825036135586,976.9176576524168,853.584289377386,0.9966666666666667,5.602834063371023,1.0,5.050000000000001e-05
12,3.4826341084071566,3.534814227711071,0.317688768235152,0.2886380913177251,1.8185553342103957,1.9370620250701904,613.3833355724812,851.4752394936302,1.0,5.000560620625814,1.0,4.275649398050859e-05
13,3.1648276247173905,3.522633595900102,0.4281505561680367,0.289336299937503,1.9312825772299695,1.9486904035915027,546.1702300185588,853.4076640389183,1.0,5.444418257872264,1.0,3.520365877844011e-05
14,3.1980838718085454,3.503769636154175,0.4276028822434397,0.29300424258449115,2.079870203233534,1.9405281760475852,680.352971107729,845.1031347621571,0.9966666666666667,5.895939414103826,1.0,2.8027470262892444e-05
15,3.3800509440018827,3.4994085051796655,0.3573679160505128,0.29229401531176386,2.0307873945362522,1.9368098432367498,807.0059236564383,848.9956224614924,1.0,5.696157585779826,1.0,2.1404630011522593e-05
16,3.3444865160174184,3.4912003603848545,0.3562978574603092,0.2994312172491707,1.9612279950755915,1.9401311440901323,722.8746166229248,850.199013710022,0.9866666666666667,5.490857406457265,1.0,1.5498214331265904e-05
17,3.2244744766923716,3.4856064319610596,0.395629693985278,0.2980107627037162,1.9277316767298533,1.9406240745024248,789.4867471877686,851.2791874625466,0.9966666666666667,5.248547146519025,1.0,1.0453658778440109e-05
18,3.28571521510949,3.482347445054488,0.3654098039365978,0.29875591918657757,2.0706402847641394,1.9407662586732344,976.1140797514664,852.0321977788752,0.9966666666666667,5.84309698065122,1.0,6.3951770526757955e-06
19,3.182500542534722,3.479942126707597,0.4060275927611981,0.29877882974376235,2.3053092169039178,1.9391836686567827,1091.7105418465355,851.7754168943925,0.9966666666666667,5.9574204643567406,1.0,3.422702443389901e-06
20,3.182853179869892,3.481044964356856,0.4022998509685397,0.2994890570164896,2.074468488278596,1.9382940855893223,786.8878155939327,850.4907308058305,0.9866666666666667,5.89652523736159,1.0,1.609427140540686e-06
