checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,billing,0.5,classification,50,50,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,billing,0.5,regression,200,200,1152,200,,1081.187255859375,1160.7777,-79.5904441406251,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,billing,1.0,classification,20,20,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,billing,1.0,regression,200,200,2195,200,,1140.74853515625,1186.553,-45.80446484375011,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,helpdesk,0.5,classification,10,10,50,200,0.6949999928474426,,0.725,-0.03000000715255735,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,helpdesk,0.5,regression,50,50,50,200,,0.19564922153949738,0.196,-0.00035077846050263206,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,helpdesk,1.0,classification,20,20,93,200,0.6800000071525574,,0.785,-0.10499999284744266,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,helpdesk,1.0,regression,20,20,93,200,,0.1874592900276184,0.2021,-0.014640709972381594,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,receipt,0.5,classification,10,10,34,200,0.699999988079071,,0.68,0.019999988079070996,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,receipt,0.5,regression,50,34,34,200,,72.01095581054688,97.1067,-25.09574418945313,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,receipt,1.0,classification,1,1,41,200,0.6850000023841858,,0.785,-0.09999999761581424,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,receipt,1.0,regression,50,41,41,200,,63.384334564208984,102.524,-39.13966543579102,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,roadtraffic_10000,0.5,classification,20,20,79,200,0.8949999809265137,,0.85,0.044999980926513694,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,roadtraffic_10000,0.5,regression,50,50,79,200,,4391.00390625,4459.555,-68.55109375000029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,roadtraffic_10000,1.0,regression,100,100,166,200,,4370.30517578125,4592.9824,-222.67722421874987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,sepsis,0.5,classification,20,20,71,200,0.5299999713897705,,0.4458,0.08419997138977053,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,sepsis,0.5,regression,100,71,71,200,,1085.350830078125,703.1954,382.15543007812505,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,sepsis,1.0,classification,50,50,225,200,0.6050000190734863,,0.4663,0.13870001907348634,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_10.pth,10,sepsis,1.0,regression,100,100,225,200,,1369.180419921875,936.7253,432.45511992187505,False,best metric; smallest k on ties
