epoch,classification_train_loss,classification_validation_loss,classification_train_accuracy,classification_validation_accuracy,regression_train_loss,regression_validation_loss,regression_train_mae_hours,regression_validation_mae_hours,gradient_clip_fraction,gradient_preclip_norm,step_success_fraction,base_lr
1,4.095214500484697,4.39592339775779,0.262243696963962,0.1896246724917071,2.4927139771518423,2.2703206864270298,977.913342006171,886.4979089390148,0.49666666666666665,6.206322471570161,0.9833333333333333,0.0001
2,3.9247131209795167,4.0015881495042285,0.2592989616665618,0.24527028448151533,2.5647499779470606,2.4133174419403076,816.5727844612271,912.011195269498,0.5166666666666667,7.395465449094773,1.0,9.939057285945933e-05
3,3.7419837151804276,3.861319065093994,0.26429562453713834,0.22628081282149895,2.290239980303008,2.0810395804318516,684.5140317982641,862.2864463979548,0.5833333333333334,7.162766189376513,1.0,9.757729755661012e-05
4,3.6329648237602385,3.7335418571125376,0.28287526449201206,0.24208045887216964,2.1380005109877813,2.1514443917707964,849.4680770562619,862.7593192187222,0.5933333333333334,6.996389473676682,1.0,9.460482294732422e-05
5,3.3279921092143674,3.6099849289113823,0.36956132963665383,0.2464225728330369,1.978880652415207,2.062772274017334,688.3999631358128,856.8232772133567,0.55,6.154406580527623,1.0,9.054634122155992e-05
6,3.398751190522822,3.5229436484250156,0.3260877322565576,0.27421307869813955,2.097295151913867,2.0249439586292612,617.8927464134553,841.8722255013206,0.5933333333333334,6.464033317565918,1.0,8.550178566873411e-05
7,3.2852105321707548,3.4638361497358843,0.35321998961702084,0.28060512415268496,2.2396876431893613,2.001619978384538,1230.5087917369344,851.3071980909867,0.62,6.9880935235818225,1.0,7.959536998847744e-05
8,3.1561482272116965,3.447172836823897,0.3856468600735499,0.280790662107591,2.1378818182718184,1.9601092663678257,990.5954750086986,853.315763646906,0.5633333333333334,6.174088000059128,1.0,7.297252973710758e-05
9,3.228920354008001,3.3785113746469673,0.3469681409807881,0.28646158838517377,2.1005496610470904,1.9543887160041116,924.6722022420992,850.3172258030285,0.62,6.337674155632655,1.0,6.579634122155991e-05
10,3.18196722616752,3.3569027944044634,0.36123594197465025,0.27708891699918275,2.1648069131068692,1.95047297260978,707.9640211080894,853.7250832644376,0.55,6.3690685816605885,1.0,5.824350601949144e-05
11,3.164550937320057,3.3331729715520684,0.36917108411412364,0.28426104814672376,2.0387519179163753,1.929523229598999,979.8247712045103,850.5090498490767,0.52,5.866275469859441,1.0,5.050000000000001e-05
12,3.287398260831833,3.3261623924428765,0.324271128167762,0.29516985361280706,1.819861040264368,1.9224937503988093,611.0417362093925,849.6987798864192,0.49666666666666665,5.288335522015889,1.0,4.275649398050859e-05
13,2.9583656479077165,3.3104276223616167,0.43928788335286584,0.30219024926686217,1.9392305479120853,1.9376658309589734,551.0960985439926,848.0813640247692,0.58,5.775319019158681,1.0,3.520365877844011e-05
14,2.994234299659729,3.2887317917563696,0.438338426312938,0.3042751099706745,2.077799690154291,1.928468942642212,681.8553049272107,844.7354937466708,0.5566666666666666,6.316621208985646,1.0,2.8027470262892444e-05
15,3.194636668134856,3.2841839356855913,0.3670452783777459,0.31010753689726456,2.0371800755822895,1.9261184497313066,813.6987996827687,849.1745925383134,0.5566666666666666,5.988387711842855,1.0,2.1404630011522593e-05
16,3.1431079584282715,3.278838959607211,0.3703177540506398,0.30578833349358203,1.9665880897273755,1.9237707744945178,727.0649478794777,851.0668821334839,0.59,5.901839327812195,1.0,1.5498214331265904e-05
17,3.0160982680500004,3.2708118612116035,0.40725335441817306,0.30152696985721844,1.9390470203525292,1.9226474653590808,792.1357302465839,848.6553542397239,0.5033333333333333,5.455401485761007,1.0,1.0453658778440109e-05
18,3.080866039604754,3.267130060629411,0.376536872962121,0.3043329497379934,2.0793391795534837,1.9232745929197832,983.8516527853513,849.505632573908,0.54,6.061637847423554,1.0,6.3951770526757955e-06
19,2.9780639092127483,3.267018339850686,0.4173028954223372,0.3022022679198116,2.3093687440409805,1.9224426204508,1095.4492369854088,849.5553869767623,0.52,6.302292627890905,1.0,3.422702443389901e-06
20,2.9690145408506874,3.2659436139193447,0.41599286732119733,0.3043678789481275,2.092266698061309,1.9218529571186413,796.5424930560663,850.2518792585893,0.5133333333333333,6.313542031645775,1.0,1.609427140540686e-06
