checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,classification,50,50,1152,54878,0.9005976915359497,,0.895,0.005597691535949689,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,regression,100,100,1152,54878,,1150.41796875,1160.7777,-10.359731250000095,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,1.0,classification,100,100,2195,54878,0.9043697118759155,,0.92,-0.015630288124084513,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,1.0,regression,200,200,2195,54878,,1145.4627685546875,1186.553,-41.09023144531261,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,helpdesk,0.5,classification,20,20,50,2430,0.7308642268180847,,0.725,0.005864226818084739,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,helpdesk,0.5,regression,20,20,50,2430,,0.19397559762001038,0.196,-0.0020244023799896316,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,helpdesk,1.0,classification,50,50,93,2430,0.7226337194442749,,0.785,-0.06236628055572513,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,helpdesk,1.0,regression,20,20,93,2430,,0.18427038192749023,0.2021,-0.017829618072509767,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,receipt,0.5,classification,10,10,34,1218,0.6830870509147644,,0.68,0.0030870509147643554,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,1218,,90.01475524902344,97.1067,-7.091944750976566,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,receipt,1.0,classification,20,20,41,1218,0.7323480844497681,,0.785,-0.052651915550231965,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,receipt,1.0,regression,50,41,41,1218,,78.93977355957031,102.524,-23.58422644042969,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,roadtraffic_10000,0.5,classification,20,20,79,3461,0.8722912669181824,,0.85,0.022291266918182395,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,roadtraffic_10000,0.5,regression,50,50,79,3461,,4880.84619140625,4459.555,421.2911914062497,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,roadtraffic_10000,1.0,classification,50,50,166,3461,0.8511990904808044,,0.855,-0.003800909519195539,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,roadtraffic_10000,1.0,regression,100,100,166,3461,,4919.900390625,4592.9824,326.91799062500013,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,sepsis,0.5,classification,100,71,71,2610,0.4567049741744995,,0.4458,0.010904974174499538,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,sepsis,0.5,regression,20,20,71,2610,,951.5388793945312,703.1954,248.3434793945313,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,sepsis,1.0,classification,50,50,225,2610,0.5199233889579773,,0.4663,0.0536233889579773,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,sepsis,1.0,regression,100,100,225,2610,,1268.154541015625,936.7253,331.42924101562505,False,best metric; smallest k on ties
