run,epoch,classification_train_nll,classification_validation_nll,classification_train_accuracy,classification_validation_accuracy,classification_validation_max_probability,regression_train_mae_hours,regression_validation_mae_hours,regression_validation_rmse_hours,gradient_clip_fraction,gradient_total_preclip,amp_overflow_fraction,classification_validation_confidence_gap,joint_invariant_score
baseline,1,2.5369556736497976,2.88157913341561,0.26329172381127686,0.19049527366472763,0.2431192961136147,972.8662765275186,889.4791297045621,1176.654840816151,0.9933333333333333,6.23101479805122,0.016666666666666666,0.05262402244888709,1.0
baseline,2,2.4197308838636156,2.513488184527429,0.25560954357936755,0.2250030797798183,0.31456981899582925,815.270958987716,886.813195662065,1177.481218511408,1.0,7.371473693847657,0.0,0.08956673921601097,0.9346317489576048
baseline,3,2.2793432146923815,2.408079607611817,0.2612942529782243,0.2152191451132157,0.35084179366272905,688.2468736911642,865.5273888327858,1159.168270111084,1.0,7.092458577950795,0.0,0.13562264854951336,0.9043763563137113
baseline,4,2.1656138680867634,2.3111764481351504,0.27526036151035266,0.23836444161338396,0.37077305319545834,854.390179608144,881.5639775883068,1180.1932177110152,1.0,7.288974095980326,0.0,0.13240861158207437,0.8965767058446197
baseline,5,1.9129480704114354,2.207291677256882,0.3649157133684975,0.23331097363107542,0.39989831617238386,686.7191173391404,860.9819233634255,1162.8474669022994,1.0,6.507841198047002,0.0,0.16658734254130844,0.866981316038723
baseline,6,1.9804065569608273,2.1201865803996576,0.3177092493227008,0.2634886844382482,0.41691835149076295,621.1730870148715,852.3164485584606,1140.2860462882302,0.9966666666666667,6.522403827110926,0.0,0.15342966705251476,0.8469960955504634
baseline,7,1.88836005617749,2.0751941852093982,0.3488288893260004,0.2792534012787847,0.4249387000030534,1227.7187007337377,841.6697496934371,1129.8613676591353,0.9966666666666667,7.230209202369054,0.0,0.14568529872426872,0.8332044023493397
baseline,8,1.7836472482420116,2.0487815027798137,0.3802770332101706,0.27872983870967744,0.427791076117104,992.986369885555,855.3938300392845,1144.3626246018844,1.0,6.052147193749746,0.0,0.14906123740742655,0.8363360526138437
baseline,9,1.859122513917129,1.999999604676021,0.3359510716280659,0.28653032005672807,0.44089119116485054,919.726490400671,853.2857245531949,1143.714932008223,1.0,6.414258749485016,0.0,0.15436087110812247,0.8266865917637336
baseline,10,1.8035927655444535,1.9896488363669838,0.3485827621710478,0.2907338439257728,0.4454701290316898,703.496956898616,850.2275263179432,1135.2528327595103,1.0,6.180698616504669,0.0,0.15473628510591703,0.8231714731625421
