task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,training_debug_target_screen,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,1,1.0,1,1.0,1.0,0.8317307692307693,0.3660633484162896,0.2956259426847663,0.3398504642750167,0.34931766789723173,0.6,0.9038461538461539,0.4,1.0,0.915158371040724,3.0773260827471853,0.3262381292407385,0.1908769930650641,0.2883066107615929,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,1,4,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1158.1342775997325,1820.791218474965,923.2077956489097,0.9079465090679554,-0.058489696178352535,0.1422124099227572,-0.05848969617835231,0.1569378102198401,0.12980769230769232,728.834414262038,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,1,1.0,1,1.0,1.0,0.7884615384615384,0.3764705882352941,0.30718954248366015,0.3615672843511909,0.33060559147351604,0.5,0.9134615384615384,0.5,1.0,0.7529411764705882,2.8946151066691717,0.35038314301783957,0.1852537314343875,0.27821406506501245,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,4,15,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,899.1392687001581,1876.9249975680884,334.9702438660129,0.7049013020097933,0.17822167104755393,0.11576739052588847,0.17822167104755404,0.1041544333801161,0.7932692307692307,1534.9766996823823,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,1,1.0,1,1.0,1.0,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3546067140406763,0.36811797607474395,0.6,0.9134615384615384,0.4382352941176471,0.8764705882352942,0.7933333333333333,2.703986953044913,0.23612640362577553,0.08436385098034843,0.244038550143321,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,16,59,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,909.5146172841637,1771.830213884913,400.12714632378265,0.7130352996898679,0.1687390058826912,0.16527828464190142,0.1687390058826912,0.20166803580983106,0.8798076923076923,2831.634713099553,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9519230769230769,35.69230769230769,2.831730769230769,0.694379386101618,1,1.0,1,1.0,1.0,0.8990384615384616,0.3970588235294118,0.33006535947712423,0.3589932930254072,0.3769315118327638,0.6,0.9519230769230769,0.5098793363499247,0.7283990519284638,0.6616161616161617,1.6045517894178258,0.18138937572972813,0.07641095155435836,0.05701459559882825,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,64,255,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1079.9559836505282,1943.7624724945715,598.3438785424805,0.8466568033326409,0.0129622245622536,0.08427978449928664,0.01296222456225371,0.03921614160037501,0.8942307692307693,4326.496007699233,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,128,514,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,69.79326923076923,2.889423076923077,0.7114977411489416,1,1.0,1,1.0,1.0,0.9134615384615384,0.47205882352941175,0.4133986928104575,0.4642484281957966,0.4656207605536086,0.5,0.9711538461538461,0.5314102564102564,0.6642628205128205,0.5672268907563025,1.0990371063318478,0.1576135004538956,0.07305562512500952,0.04144669351599122,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,128,514,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1020.5865061533298,2008.6014163185343,569.1718673894411,0.8001127100600646,0.06722361843837565,0.05373370057622451,0.06722361843837565,-0.025951524338715393,0.8942307692307693,3734.667309467609,learned_transform_ensemble,4,dynamic
