checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,classification,100,100,1152,200,0.8899999856948853,,0.895,-0.005000014305114764,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,regression,200,200,1152,200,,1077.3304443359375,1160.7777,-83.4472556640626,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,1.0,classification,10,10,2195,200,0.8849999904632568,,0.92,-0.035000009536743204,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,1.0,regression,200,200,2195,200,,1142.25732421875,1186.553,-44.29567578125011,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,helpdesk,0.5,classification,20,20,50,200,0.7049999833106995,,0.725,-0.020000016689300515,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,helpdesk,0.5,regression,50,50,50,200,,0.19800573587417603,0.196,0.002005735874176018,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,helpdesk,1.0,classification,20,20,93,200,0.699999988079071,,0.785,-0.08500001192092899,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,helpdesk,1.0,regression,50,50,93,200,,0.1838942915201187,0.2021,-0.01820570847988129,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,receipt,0.5,classification,1,1,34,200,0.7450000047683716,,0.68,0.06500000476837153,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,200,,73.1181869506836,97.1067,-23.98851304931641,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,receipt,1.0,classification,1,1,41,200,0.7400000095367432,,0.785,-0.04499999046325687,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,receipt,1.0,regression,50,41,41,200,,62.960079193115234,102.524,-39.56392080688477,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,roadtraffic_10000,0.5,classification,50,50,79,200,0.8849999904632568,,0.85,0.03499999046325686,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,roadtraffic_10000,0.5,regression,100,79,79,200,,4354.45166015625,4459.555,-105.10333984375029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,roadtraffic_10000,1.0,classification,50,50,166,200,0.8650000095367432,,0.855,0.010000009536743182,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,roadtraffic_10000,1.0,regression,100,100,166,200,,4294.21044921875,4592.9824,-298.77195078124987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,sepsis,0.5,classification,50,50,71,200,0.5550000071525574,,0.4458,0.1092000071525574,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,sepsis,0.5,regression,100,71,71,200,,1077.078857421875,703.1954,373.88345742187505,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,sepsis,1.0,classification,50,50,225,200,0.6050000190734863,,0.4663,0.13870001907348634,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_40.pth,40,sepsis,1.0,regression,100,100,225,200,,1388.564697265625,936.7253,451.83939726562505,False,best metric; smallest k on ties
