task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,corrected_fmv3,main,billing,0,natural,1,4,configured,balanced,1.0,20,208,0.8413461538461539,0.36990950226244346,0.29989944695827053,0.34700195867820816,0.35475820691312826,0.6,0.9038461538461539,0.4,1.0,0.9247737556561086,3.0208477340704336,0.267277082450459,0.05345994620942152,0.06119941016938229,,,,,,,,
regression,corrected_fmv3,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,1098.7349326686349,887.946731582013,0.8613790005205977,-0.004201004629028837,-0.004201004629028615,0.1673911245434223,0.28846153846153844,1235.4719992792996
classification,corrected_fmv3,main,billing,0,natural,2,7,configured,balanced,1.0,20,208,0.8413461538461539,0.36990950226244346,0.29989944695827053,0.3476274452364678,0.3550993955535024,0.6,0.9038461538461539,0.4,1.0,0.9247737556561086,2.9929702860540632,0.272721158870947,0.045662994711444915,0.05957469546955537,,,,,,,,
regression,corrected_fmv3,,billing,0,natural,2,7,,,,50,208,,,,,,,,,,,,,,,913.7191435210659,436.3595700028527,0.7163315365709589,0.16489623239333706,0.16489623239333717,0.09995574531366702,0.8269230769230769,2099.3891156949303
classification,corrected_fmv3,main,billing,0,natural,4,15,configured,balanced,1.0,20,208,0.7596153846153846,0.36696832579185523,0.2966314731020614,0.35617722878625135,0.3250539705048327,0.5,0.9134615384615384,0.5,1.0,0.7339366515837105,2.8633609382976886,0.3480849321421289,0.12100126551320925,0.07817248277613326,,,,,,,,
regression,corrected_fmv3,,billing,0,natural,4,15,,,,50,208,,,,,,,,,,,,,,,860.9396214529138,292.53178152434884,0.6749537932997974,0.21313466325486208,0.2131346632548622,0.1305937910640571,0.8653846153846154,1906.3166787145008
classification,corrected_fmv3,main,billing,0,natural,8,28,configured,balanced,1.0,20,208,0.8413461538461539,0.36990950226244346,0.29989944695827053,0.3477859086218219,0.35513612703932945,0.6,0.9134615384615384,0.5,1.0,0.7398190045248869,2.929375156041996,0.30485822553982317,0.13506536142757308,0.13643474990536172,,,,,,,,
regression,corrected_fmv3,,billing,0,natural,8,28,,,,50,208,,,,,,,,,,,,,,,867.9618145043185,318.67621229430506,0.6804590061152216,0.20671665186080168,0.2067166518608018,0.12692007207230815,0.8653846153846154,1816.51410844492
classification,corrected_fmv3,main,billing,0,natural,16,59,configured,balanced,1.0,20,208,0.8413461538461539,0.36990950226244346,0.29989944695827053,0.3477859086218219,0.35513612703932945,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7779487179487179,2.724925251144995,0.2610093431252153,0.09305572022612277,0.052564961165429934,,,,,,,,
regression,corrected_fmv3,,billing,0,natural,16,59,,,,50,208,,,,,,,,,,,,,,,861.8824311758611,375.16496983042634,0.6756929310778791,0.2122729718288343,0.21227297182883442,0.24714615768456782,0.9423076923076923,4136.9571442797205
classification,corrected_fmv3,main,billing,0,natural,32,118,configured,balanced,1.0,20,208,0.8413461538461539,0.36990950226244346,0.29989944695827053,0.3459199679871949,0.35446126965637736,0.6,0.9134615384615384,0.47285067873303166,0.9457013574660633,0.7933333333333333,2.7377630873553462,0.2689628042092338,0.09485662270050785,0.07762175165298066,,,,,,,,
regression,corrected_fmv3,,billing,0,natural,32,118,,,,50,208,,,,,,,,,,,,,,,821.5145181715998,406.836223494754,0.64404555961199,0.24916767462598488,0.249167674625985,0.28351126897069967,0.9278846153846154,3579.8021243013436
classification,corrected_fmv3,main,billing,0,natural,64,255,configured,balanced,1.0,20,208,0.8605769230769231,0.3801945701357466,0.3113273001508295,0.3461794805641555,0.3618991892683087,0.6,0.9519230769230769,0.5470588235294118,0.7815126050420168,0.6384110334110334,1.843773691912482,0.22233525258702866,0.08586984213728172,0.10561442648337202,,,,,,,,
regression,corrected_fmv3,,billing,0,natural,64,255,,,,50,208,,,,,,,,,,,,,,,1053.7419257315792,618.7706271134866,0.8261056782719587,0.03692085417792934,0.03692085417792934,0.11408440190751645,0.9038461538461539,5581.493015153369
