epoch,task,component,gradient_l2
1,classification,classification/accuracy_surrogate_weighted,0.25909454956906836
1,classification,classification/balanced_accuracy_surrogate_weighted,0.19249581235343027
1,classification,classification/brier_surrogate_weighted,0.14763395251865272
1,classification,classification/macro_f1_surrogate_weighted,0.15223012147634143
1,classification,classification/nll_surrogate_weighted,0.07766060094999636
1,classification,classification_separation_weighted,0.9682183324334389
1,classification,primary,0.8019065332267212
1,classification,routing_weighted,0.12686661850386802
2,classification,classification/accuracy_surrogate_weighted,0.23381348759279916
2,classification,classification/balanced_accuracy_surrogate_weighted,0.13285853177415588
2,classification,classification/brier_surrogate_weighted,0.16210738348959278
2,classification,classification/macro_f1_surrogate_weighted,0.10918552512856292
2,classification,classification/nll_surrogate_weighted,0.08382276171460512
2,classification,classification_separation_weighted,1.2983202979256692
2,classification,primary,0.6613790349633731
2,classification,routing_weighted,0.27126981685203827
2,regression,confidence_weighted,0.010166918265433766
2,regression,primary,1.5917289842348956
2,regression,regression/bias_weighted,0.16438144081144143
2,regression,regression/huber_weighted,0.26593458684200477
2,regression,regression/log_rmse_weighted,0.17892197760563064
2,regression,regression/mae_weighted,0.25267094756291975
2,regression,regression/median_ae_weighted,0.1838920461922723
2,regression,regression/quantile_weighted,0.25267094756291975
2,regression,regression/r2_weighted,0.2847643128771175
2,regression,regression/relative_mae_weighted,0.19045591637463005
2,regression,regression/rmse_weighted,0.33138436679657063
2,regression,regression_gate_aux_weighted,0.01231144025105845
2,regression,routing_weighted,0.03614169411143742
3,classification,classification/accuracy_surrogate_weighted,0.08352315004648124
3,classification,classification/balanced_accuracy_surrogate_weighted,0.0832498424589783
3,classification,classification/brier_surrogate_weighted,0.12116066470235347
3,classification,classification/macro_f1_surrogate_weighted,0.0814752283331554
3,classification,classification/nll_surrogate_weighted,0.061833531445957414
3,classification,classification_separation_weighted,1.3041943103828915
3,classification,primary,0.3082272633341144
3,classification,routing_weighted,0.4914368096872794
3,regression,confidence_weighted,0.023215376969646973
3,regression,primary,1.1342241095640913
3,regression,regression/bias_weighted,0.12426843981370969
3,regression,regression/huber_weighted,0.1527654118673733
3,regression,regression/log_rmse_weighted,0.21361050649114943
3,regression,regression/mae_weighted,0.1724641372342868
3,regression,regression/median_ae_weighted,0.11161028762160358
3,regression,regression/quantile_weighted,0.1724641372342868
3,regression,regression/r2_weighted,0.22242897938121006
3,regression,regression/relative_mae_weighted,0.2473848302101321
3,regression,regression/rmse_weighted,0.19758536302365787
3,regression,regression_gate_aux_weighted,0.01200634795171314
3,regression,routing_weighted,0.07848143565660147
4,classification,classification/accuracy_surrogate_weighted,0.16411822156229736
4,classification,classification/balanced_accuracy_surrogate_weighted,0.16411822156229736
4,classification,classification/brier_surrogate_weighted,0.15307145763455945
4,classification,classification/macro_f1_surrogate_weighted,0.16241136802328218
4,classification,classification/nll_surrogate_weighted,0.05479761730422457
4,classification,classification_separation_weighted,1.670923124156921
4,classification,primary,0.5340102964879402
4,classification,routing_weighted,0.48695838258286667
4,regression,confidence_weighted,0.05055629608250636
4,regression,primary,2.7499620757635643
4,regression,regression/bias_weighted,0.37949044684605354
4,regression,regression/huber_weighted,0.5311908912985365
4,regression,regression/log_rmse_weighted,0.3114555731334828
4,regression,regression/mae_weighted,0.4508240632568567
4,regression,regression/median_ae_weighted,0.27691539419708394
4,regression,regression/quantile_weighted,0.4508240632568567
4,regression,regression/r2_weighted,0.250651698904265
4,regression,regression/relative_mae_weighted,0.877359133120442
4,regression,regression/rmse_weighted,0.542527224359906
4,regression,regression_gate_aux_weighted,0.01904322954013543
4,regression,routing_weighted,0.1472461226432929
5,classification,classification/accuracy_surrogate_weighted,0.20755389119476808
5,classification,classification/balanced_accuracy_surrogate_weighted,0.20755389119476808
5,classification,classification/brier_surrogate_weighted,0.19558777727098614
5,classification,classification/macro_f1_surrogate_weighted,0.19952860079465562
5,classification,classification/nll_surrogate_weighted,0.09240247190608672
5,classification,classification_separation_weighted,1.0494916099860472
5,classification,primary,0.8473045157571126
5,classification,routing_weighted,0.27398878110851255
5,regression,confidence_weighted,0.02544536217014444
5,regression,primary,1.671075493857837
5,regression,regression/bias_weighted,0.17468275483055534
5,regression,regression/huber_weighted,0.23619588955375015
5,regression,regression/log_rmse_weighted,0.21241524496080222
5,regression,regression/mae_weighted,0.22829056877705756
5,regression,regression/median_ae_weighted,0.09386851010955054
5,regression,regression/quantile_weighted,0.22829056877705756
