checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,helpdesk,50.0,classification,100,100,4851,2430,0.7761316895484924,,0.83,-0.05386831045150753,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,helpdesk,50.0,regression,50,50,4851,2430,,0.15957891941070557,0.167,-0.007421080589294443,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,helpdesk,100.0,classification,50,50,9758,2430,0.7765432000160217,,0.84,-0.06345679998397824,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,helpdesk,100.0,regression,100,100,9758,2430,,0.15858837962150574,0.1661,-0.00751162037849426,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,0.5,classification,1,1,34,1218,0.692118227481842,,0.68,0.012118227481841992,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,1218,,87.29415130615234,97.1067,-9.81254869384766,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,1.0,classification,10,10,41,1218,0.743842363357544,,0.785,-0.041157636642456086,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,1.0,regression,50,41,41,1218,,78.6739730834961,102.524,-23.850026916503907,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,3.0,classification,20,20,137,1218,0.7528735399246216,,0.8,-0.04712646007537846,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,3.0,regression,200,137,137,1218,,83.64933776855469,101.7245,-18.07516223144532,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,5.0,classification,50,50,242,1218,0.7602627277374268,,0.785,-0.024737272262573273,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,5.0,regression,200,200,242,1218,,87.41569519042969,99.905,-12.489304809570314,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,10.0,classification,50,50,440,1218,0.7816091775894165,,0.805,-0.023390822410583545,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,10.0,regression,200,200,440,1218,,80.40533447265625,100.8993,-20.493965527343747,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,20.0,classification,50,50,957,1218,0.8128078579902649,,0.805,0.007807857990264844,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,20.0,regression,100,100,957,1218,,79.97525787353516,99.0821,-19.10684212646484,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,50.0,classification,20,20,2386,1218,0.8374384045600891,,0.85,-0.012561595439910866,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,50.0,regression,50,50,2386,1218,,79.84297943115234,98.0772,-18.23422056884766,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,100.0,classification,50,50,4607,1218,0.8448275923728943,,0.85,-0.005172407627105691,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,receipt,100.0,regression,200,200,4607,1218,,80.54224395751953,94.4677,-13.925456042480462,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,0.5,classification,20,20,79,3461,0.8722912669181824,,0.85,0.022291266918182395,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,0.5,regression,100,79,79,3461,,4877.3740234375,4459.555,417.8190234374997,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,1.0,classification,50,50,166,3461,0.8517769575119019,,0.855,-0.0032230424880981268,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,1.0,regression,100,100,166,3461,,4887.21923828125,4592.9824,294.23683828125013,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,3.0,classification,50,50,439,3461,0.871713399887085,,0.855,0.01671339988708498,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,3.0,regression,200,200,439,3461,,4895.18115234375,4477.5697,417.61145234375,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,5.0,classification,50,50,730,3461,0.8835596442222595,,0.88,0.003559644222259517,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,5.0,regression,200,200,730,3461,,4605.6318359375,4440.8163,164.8155359374996,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,10.0,classification,100,100,1434,3461,0.8821150064468384,,0.885,-0.00288499355316163,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,10.0,regression,200,200,1434,3461,,4727.96923828125,4456.0001,271.9691382812498,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,20.0,classification,100,100,2740,3461,0.8832707405090332,,0.895,-0.011729259490966815,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,20.0,regression,100,100,2740,3461,,4699.51123046875,4402.3713,297.1399304687502,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,50.0,classification,200,200,6881,3461,0.8864489793777466,,0.89,-0.0035510206222534313,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,50.0,regression,200,200,6881,3461,,4678.2216796875,4301.9524,376.2692796874999,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,100.0,classification,200,200,13790,3461,0.8867379426956177,,0.9,-0.013262057304382346,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,roadtraffic_10000,100.0,regression,200,200,13790,3461,,4672.64599609375,4287.3581,385.2878960937496,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,0.5,classification,50,50,71,2610,0.4486590027809143,,0.4458,0.0028590027809143326,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,0.5,regression,20,20,71,2610,,945.2863159179688,703.1954,242.0909159179688,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,1.0,classification,50,50,225,2610,0.5195402503013611,,0.4663,0.05324025030136109,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,1.0,regression,100,100,225,2610,,1270.528564453125,936.7253,333.80326445312505,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,3.0,classification,50,50,317,2610,0.5429118871688843,,0.5422,0.0007118871688842621,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,3.0,regression,200,200,317,2610,,883.878662109375,788.3009,95.57776210937504,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,5.0,classification,100,100,498,2610,0.5390804409980774,,0.5496,-0.010519559001922585,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,5.0,regression,200,200,498,2610,,917.0792236328125,718.7791,198.30012363281253,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,10.0,classification,50,50,994,2610,0.573180079460144,,0.5581,0.015080079460144002,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,10.0,regression,200,200,994,2610,,890.1353149414062,727.6845,162.4508149414063,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,20.0,classification,100,100,2106,2610,0.5816091895103455,,0.5715,0.010109189510345451,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,20.0,regression,200,200,2106,2610,,879.8226928710938,713.3536,166.46909287109372,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,50.0,classification,100,100,5100,2610,0.5950191617012024,,0.5927,0.002319161701202388,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,50.0,regression,200,200,5100,2610,,881.7225952148438,666.9328,214.7897952148437,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,100.0,classification,200,200,10504,2610,0.60383141040802,,0.598,0.0058314104080200435,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,sepsis,100.0,regression,200,200,10504,2610,,890.0753173828125,614.9354,275.13991738281254,False,best metric; smallest k on ties
