checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,classification,50,50,1152,200,0.8849999904632568,,0.895,-0.010000009536743182,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,regression,200,200,1152,200,,1071.3916015625,1160.7777,-89.3860984375001,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,classification,20,20,2195,200,0.8849999904632568,,0.92,-0.035000009536743204,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,regression,200,200,2195,200,,1132.63818359375,1186.553,-53.91481640625011,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,classification,50,50,50,200,0.6949999928474426,,0.725,-0.03000000715255735,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,regression,20,20,50,200,,0.19261494278907776,0.196,-0.0033850572109222488,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,classification,50,50,93,200,0.6899999976158142,,0.785,-0.09500000238418582,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,regression,50,50,93,200,,0.17938993871212006,0.2021,-0.022710061287879946,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,classification,1,1,34,200,0.6899999976158142,,0.68,0.00999999761581416,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,200,,75.38139343261719,97.1067,-21.725306567382816,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,classification,20,20,41,200,0.7400000095367432,,0.785,-0.04499999046325687,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,regression,10,10,41,200,,62.876991271972656,102.524,-39.647008728027345,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,roadtraffic_10000,0.5,classification,50,50,79,200,0.8799999952316284,,0.85,0.02999999523162844,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,roadtraffic_10000,0.5,regression,100,79,79,200,,4385.560546875,4459.555,-73.99445312500029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,roadtraffic_10000,1.0,regression,100,100,166,200,,4353.05419921875,4592.9824,-239.92820078124987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,sepsis,0.5,classification,50,50,71,200,0.48500001430511475,,0.4458,0.03920001430511477,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,sepsis,0.5,regression,20,20,71,200,,1024.7425537109375,703.1954,321.54715371093755,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,sepsis,1.0,classification,10,10,225,200,0.6150000095367432,,0.4663,0.14870000953674317,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,sepsis,1.0,regression,100,100,225,200,,1380.2559814453125,936.7253,443.53068144531255,False,best metric; smallest k on ties
