epoch,classification_train_loss,classification_validation_loss,classification_train_accuracy,classification_validation_accuracy,regression_train_loss,regression_validation_loss,regression_train_mae_hours,regression_validation_mae_hours,gradient_clip_fraction,gradient_preclip_norm,step_success_fraction,base_lr
1,4.097045188208661,4.425107695839622,0.26329172381127686,0.19049527366472763,2.46906934656314,2.288862531835383,972.8662765275186,889.4791297045621,0.9933333333333333,6.23101479805122,1.0,0.0001
2,3.9447634325546472,4.035074602473866,0.25560954357936755,0.2250030797798183,2.5576848235784793,2.325462514703924,815.270958987716,886.813195662065,1.0,7.371473693847657,1.0,9.939057285945933e-05
3,3.7687582685101417,3.895541191101074,0.2612942529782243,0.2152191451132157,2.292937814778295,2.1987118287519976,688.2468736911642,865.5273888327858,1.0,7.092458577950795,1.0,9.757729755661012e-05
4,3.6557449819215764,3.7822817238894375,0.27526036151035266,0.23836444161338396,2.1598660256586917,2.1858823624524204,854.390179608144,881.5639775883068,1.0,7.288974095980326,1.0,9.460482294732422e-05
5,3.364323087290031,3.6618427580053154,0.3649157133684975,0.23331097363107542,1.9888465053894941,2.0761917396025225,686.7191173391404,860.9819233634255,1.0,6.507841198047002,1.0,9.054634122155992e-05
6,3.4440363849081645,3.56603327664462,0.3177092493227008,0.2634886844382482,2.0982484799974106,2.065009518103166,621.1730870148715,852.3164485584606,0.9966666666666667,6.522403827110926,1.0,8.550178566873411e-05
7,3.3396138813760547,3.5132816596464678,0.3488288893260004,0.2792534012787847,2.2543150186538696,2.0241436741568823,1227.7187007337377,841.6697496934371,0.9966666666666667,7.230209202369054,1.0,7.959536998847744e-05
8,3.207832971429513,3.4819283268668433,0.3802770332101706,0.27872983870967744,2.1468984399523054,1.981348525394093,992.986369885555,855.3938300392845,1.0,6.052147193749746,1.0,7.297252973710758e-05
9,3.288457729722147,3.424678932536732,0.3359510716280659,0.28653032005672807,2.099791709000502,1.9629374634135852,919.726490400671,853.2857245531949,1.0,6.414258749485016,1.0,6.579634122155991e-05
10,3.236053807867898,3.4101797450672495,0.3485827621710478,0.2907338439257728,2.156215047989136,1.9723569696599788,703.496956898616,850.2275263179432,1.0,6.180698616504669,1.0,5.824350601949144e-05
11,3.223074091108222,3.3741553046486596,0.3563642374559045,0.29215429847122737,2.050504576515507,1.9448134899139404,982.1250729947477,847.264818018133,1.0,5.988959157069524,1.0,5.050000000000001e-05
12,3.3464074696813313,3.369669632478194,0.32026277365033623,0.2941801926590068,1.8174186326563357,1.9325380542061545,613.5217926919461,852.2335489446467,0.9966666666666667,5.458551595211029,1.0,4.275649398050859e-05
13,3.0173073382262725,3.3557356379248877,0.42433821098752955,0.293423017523196,1.9327698234301895,1.9457553299990566,546.4026396310152,837.3201282674617,1.0,5.944358559449514,1.0,3.520365877844011e-05
14,3.0448022702644613,3.327316728505221,0.425578966163733,0.2992565711985001,2.073468888959577,1.938090129332109,680.6887278710642,845.87221735174,0.9966666666666667,6.002134367823601,1.0,2.8027470262892444e-05
15,3.2410949316600823,3.322554122317921,0.35810081909919306,0.29989694005095907,2.0321508953902896,1.9262591925534336,810.7856618363336,843.6835171959617,0.9966666666666667,5.930421107014021,1.0,2.1404630011522593e-05
16,3.2050266985769396,3.320472999052568,0.35771650923550424,0.3056715272102303,1.9594209022717932,1.9258118651129983,718.7082980038368,842.6551531011409,0.99,5.877541666825612,1.0,1.5498214331265904e-05
17,3.081475179894526,3.3157803362066094,0.3940898985174125,0.3020505324263257,1.9264753564389165,1.930428851734508,787.3836526242559,847.059078389948,0.9933333333333333,5.402015314499537,1.0,1.0453658778440109e-05
18,3.1333804243319743,3.3136978582902388,0.3683487282696159,0.30279568890918707,2.0742933734467157,1.9325771006670864,980.7514750330072,847.2891698317094,0.9966666666666667,6.001698552767436,1.0,6.3951770526757955e-06
19,3.0278359594168487,3.3104288361289282,0.4048255160299101,0.2992445525455507,2.3004978880737768,1.9278568679636174,1095.2185447172685,845.5371124961159,0.9966666666666667,6.1974695638815565,1.0,3.422702443389901e-06
20,3.032114814511306,3.3084068298339844,0.40071237643291474,0.30066500709100524,2.075542427738261,1.928356875072826,790.5563124188725,846.7154707475142,0.9933333333333333,6.3043212101856865,1.0,1.609427140540686e-06
