checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,billing,0.5,classification,50,50,1152,54878,0.9036954641342163,,0.895,0.00869546413421629,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,billing,0.5,regression,100,100,1152,54878,,1143.980224609375,1160.7777,-16.797475390625095,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,billing,1.0,classification,50,50,2195,54878,0.9056088328361511,,0.92,-0.014391167163848917,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,billing,1.0,regression,200,200,2195,54878,,1139.7347412109375,1186.553,-46.81825878906261,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,helpdesk,0.5,classification,10,10,50,2430,0.7399176955223083,,0.725,0.014917695522308372,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,helpdesk,0.5,regression,20,20,50,2430,,0.1956222653388977,0.196,-0.00037773466110230247,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,helpdesk,1.0,classification,50,50,93,2430,0.7205761075019836,,0.785,-0.06442389249801639,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,helpdesk,1.0,regression,20,20,93,2430,,0.18576480448246002,0.2021,-0.01633519551753998,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,receipt,0.5,classification,1,1,34,1218,0.6756978631019592,,0.68,-0.00430213689804082,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,1218,,85.69482421875,97.1067,-11.411875781250004,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,receipt,1.0,classification,10,10,41,1218,0.7290640473365784,,0.785,-0.05593595266342166,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,receipt,1.0,regression,50,41,41,1218,,78.50416564941406,102.524,-24.01983435058594,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,roadtraffic_10000,0.5,classification,20,20,79,3461,0.8720023036003113,,0.85,0.0220023036003113,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,roadtraffic_10000,0.5,regression,50,50,79,3461,,4866.6318359375,4459.555,407.0768359374997,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,roadtraffic_10000,1.0,classification,50,50,166,3461,0.8517769575119019,,0.855,-0.0032230424880981268,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,roadtraffic_10000,1.0,regression,100,100,166,3461,,4885.85595703125,4592.9824,292.87355703125013,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,sepsis,0.5,classification,50,50,71,2610,0.44329503178596497,,0.4458,-0.0025049682140350082,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,sepsis,0.5,regression,20,20,71,2610,,952.4305419921875,703.1954,249.23514199218755,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,sepsis,1.0,classification,50,50,225,2610,0.524904191493988,,0.4663,0.058604191493988045,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_equilibrated_regression/model_epoch_40.pth,40,sepsis,1.0,regression,100,100,225,2610,,1264.7330322265625,936.7253,328.00773222656255,False,best metric; smallest k on ties
