epoch,phase,task,metric,mean
2,train,regression,head/regression/branch_2/mae_hours,884.8879589442334
2,train,regression,head/regression/branch_2/weight_mean,0.24790095075283175
2,train,regression,head/regression/branch_3/mae_hours,909.3966922947005
2,train,regression,head/regression/branch_3/weight_mean,0.24809176713423012
2,train,regression,head/regression/selector/log_weight/abs_mean,0.11263760271804785
2,train,regression,head/regression/selector/effective_support/mean,16.70440552904715
2,train,regression,head/regression/selector/attention_entropy_mean,0.9361609656826343
2,validation,classification,head/classification/accuracy,0.22087805273784913
2,validation,classification,head/classification/episode_accuracy,0.22087804566730151
2,validation,classification,head/classification/episode_balanced_accuracy,0.21227349882776086
2,validation,classification,head/classification/episode_macro_f1,0.1740105634724552
2,validation,classification,head/classification/nll,2.555294768195907
2,validation,classification,head/classification/true_probability_mean,0.15235966037760085
2,validation,classification,head/classification/max_probability_mean,0.3135940375650611
2,validation,classification,head/classification/entropy_mean,0.7211520499365006
2,validation,classification,head/classification/probability_margin_mean,0.16697713840734216
2,validation,classification,head/classification/local_class_coverage,0.27707928482549743
2,validation,classification,head/classification/gate/mean,0.27707928482549743
2,validation,classification,head/classification/prototype_variances/mean,0.00046849514513410773
2,validation,classification,head/classification/selector/log_weight/abs_mean,0.24257842173072222
2,validation,classification,head/classification/selector/effective_support/mean,16.404557642419604
2,validation,classification,head/classification/selector/attention_entropy_mean,0.7175997834900749
2,validation,regression,head/regression/mae_hours,895.5020171078769
2,validation,regression,head/regression/rmse_hours,1176.251857063987
2,validation,regression,head/regression/median_ae_hours,753.7283665917137
2,validation,regression,head/regression/bias_hours,-85.38618070429021
2,validation,regression,head/regression/relative_mae,17.3305586847392
2,validation,regression,head/regression/r2,0.3641703724861145
2,validation,regression,head/regression/branch_weight_entropy_mean,0.9994953383098949
2,validation,regression,head/regression/branch_0/mae_hours,892.5602028586648
2,validation,regression,head/regression/branch_0/weight_mean,0.26475079222158954
2,validation,regression,head/regression/branch_1/mae_hours,897.225114995783
2,validation,regression,head/regression/branch_1/weight_mean,0.2450289265675978
2,validation,regression,head/regression/branch_2/mae_hours,918.9745023900813
2,validation,regression,head/regression/branch_2/weight_mean,0.2455906244841489
2,validation,regression,head/regression/branch_3/mae_hours,932.5122346878052
