epoch,classification_train_loss,classification_validation_loss,classification_train_accuracy,classification_validation_accuracy,classification_validation_balanced_accuracy,classification_validation_macro_f1,regression_train_loss,regression_validation_loss,regression_train_mae_hours,regression_validation_mae_hours,regression_validation_r2,gradient_clip_fraction,gradient_preclip_norm,step_success_fraction,base_lr
1,2.2719177280563905,2.258642630143599,0.2652622753032064,0.2054449756021345,0.1953580921346491,0.16251068735833873,1.442513087792183,1.4374839934435757,980.7376648347769,892.598202531988,0.3284552422436801,0.9333333333333333,1.72212313135465,1.0,0.0001
2,2.200121294884455,2.1561494957317007,0.25615956040703536,0.22087805273784913,0.21227349882776086,0.1740105634724552,1.4174945167466706,1.415025461803783,839.5831178902022,895.5020171078769,0.3641703724861145,0.9833333333333333,1.8830292477210362,1.0,9.939057285945933e-05
3,2.130756406630239,2.0957129218361596,0.26455760558766456,0.21187758401038412,0.20264023542404175,0.16428308671509678,1.403679088066364,1.396018754352223,702.9015437224816,894.7349156466397,0.39499726620587433,0.9033333333333333,2.0480240762233732,1.0,9.757729755661012e-05
4,2.0979741414388022,2.0500825860283594,0.2720610299801175,0.22572006754482957,0.2149787423285571,0.1748865768313408,1.392515584725101,1.3920641595667058,879.6943673892897,893.0082737315785,0.3981972878629511,0.8333333333333334,2.2296151904265087,1.0,9.460482294732422e-05
5,2.0060853528327685,2.01053693077781,0.357704365438935,0.24191557797702032,0.23372002758763052,0.192076675593853,1.3650591708476247,1.3830086426301436,702.8166221294528,911.4014561393044,0.4092408310283314,0.7866666666666666,2.2076279939616406,0.9966666666666667,9.054634122155992e-05
6,2.006696269279573,1.969385493885387,0.3252164085954354,0.25472370619201,0.24748850139704617,0.20622843893414194,1.3698418666334713,1.376730821349404,630.6426201287438,883.0715030323375,0.41887069832194934,0.7333333333333333,2.25518786072731,1.0,8.550178566873411e-05
7,1.9527215582353097,1.923414566300132,0.3574356207693759,0.2747726972260949,0.2688680020245639,0.2256058526479385,1.381492354731629,1.3744936097751965,1259.60520554971,885.3520861538974,0.42176523533734406,0.6833333333333333,2.2871553682287535,1.0,7.959536998847744e-05
8,1.8915723632363712,1.8982515226710925,0.38821574422348354,0.2891387433296476,0.28350686214186926,0.24379635195840488,1.3743017579422516,1.3752169067209417,1020.6326205130337,874.8654710596257,0.4196960004893216,0.6333333333333333,2.2674552989999452,1.0,7.297252973710758e-05
9,1.893204353623471,1.866378513249484,0.3565243096054797,0.29992097735685785,0.2938661277294159,0.25306988981637085,1.362042309792061,1.3756784417412498,940.2780706436654,878.932563868436,0.4183546575632962,0.6966666666666667,2.46968018780152,1.0,6.579634122155991e-05
10,1.888133477833536,1.8476040146567605,0.37458629700908436,0.32275303771453295,0.31619827957315877,0.27225959876721556,1.372663066173211,1.3752383535558528,709.0807788127507,876.6712497364391,0.419075917113911,0.66,2.40300958275795,1.0,5.824350601949144e-05
11,1.8822211638877266,1.8339791297912598,0.3771730782232555,0.32704820381231675,0.322303231805563,0.28168183531273494,1.3700237531919737,1.3716048110615124,998.2421906574352,868.1401578729802,0.4247915907339616,0.6333333333333333,2.3784823533395927,1.0,5.050000000000001e-05
12,1.9219887103353228,1.8247191038998691,0.3315786891040186,0.3490881598240469,0.3411175185306506,0.2972981604662808,1.3575762443244457,1.37222129648382,624.7868653655053,874.0930066542192,0.42278249155391345,0.6166666666666667,2.1956841039617725,0.9966666666666667,4.275649398050859e-05
13,1.8058539090386356,1.8124137683348223,0.4515315186473689,0.3477604742560454,0.342593928291039,0.2994980632581494,1.352339449213512,1.3719174103303389,555.4161527263584,861.6371773806485,0.42391728271137585,0.64,2.554888710230589,1.0,3.520365877844011e-05
14,1.8360598901222491,1.8081451762806287,0.44335793185979877,0.3569584995913658,0.35091704231771553,0.30645262805575674,1.3575509448205272,1.372411760416898,686.5321375077771,870.5239641016179,0.42259844866665924,0.6466666666666666,2.6047978003819785,1.0,2.8027470262892444e-05
15,1.8759352328793315,1.7999184781854802,0.3835642751941804,0.34779540346617954,0.34162937612696126,0.2983609705486081,1.3611959984760411,1.3694312464107166,818.5230092686534,867.63575926694,0.42707542939619586,0.5966666666666667,2.2909535842396345,0.9966666666666667,2.1404630011522593e-05
16,1.8565089222672697,1.7928407842462712,0.3923526436294655,0.35629522018172205,0.3503458022393964,0.3077812008559704,1.363426053360717,1.3702706532044844,734.8011134226028,861.5285396575928,0.4261344996365634,0.6433333333333333,2.4673620157440506,1.0,1.5498214331265904e-05
17,1.7876734321278738,1.7862028208645908,0.42946934683456783,0.35485185507908273,0.3491764349693602,0.3078135499222712,1.3637368736152877,1.3702857927842573,794.8848976203782,865.5740324367176,0.42572086507623846,0.5866666666666667,2.248539107342561,1.0,1.0453658778440109e-05
18,1.7996979541069753,1.785012873736295,0.3991430769733357,0.3598921776597279,0.35345214706930245,0.3105285574089397,1.380021892095867,1.3704747611826116,993.1549945003107,862.5391726060348,0.4253788211128928,0.6133333333333333,2.2709431778887907,1.0,6.3951770526757955e-06
19,1.7759767611821493,1.782886570150202,0.43717795304444934,0.3598463565453584,0.35395433245734736,0.3109398998997428,1.3802351539785211,1.370569109916687,1105.846064856558,862.1106048930775,0.42520658536390826,0.5666666666666667,2.187167278130849,1.0,3.422702443389901e-06
20,1.7745612773963872,1.781649719585072,0.4360469915053731,0.35840299144271914,0.35272757133299654,0.30999334291978314,1.3581114703824062,1.3706740032542835,797.8659091440047,864.1296353773637,0.42510074377059937,0.5733333333333334,2.313978962401549,1.0,1.609427140540686e-06
