epoch,task,component,gradient_l2
1,classification,classification/accuracy_surrogate_weighted,0.2491860296363858
1,classification,classification/balanced_accuracy_surrogate_weighted,0.18478059964071283
1,classification,classification/brier_surrogate_weighted,0.1433730335663559
1,classification,classification/macro_f1_surrogate_weighted,0.1460544704075007
1,classification,classification/nll_surrogate_weighted,0.0798796762174708
1,classification,classification_separation_weighted,0.9085172215789248
1,classification,primary,0.7752464455242231
1,classification,routing_weighted,0.13298645587158323
2,classification,classification/accuracy_surrogate_weighted,0.20853826927184282
2,classification,classification/balanced_accuracy_surrogate_weighted,0.1247969902508026
2,classification,classification/brier_surrogate_weighted,0.15171061786843515
2,classification,classification/macro_f1_surrogate_weighted,0.10115258675761452
2,classification,classification/nll_surrogate_weighted,0.0775433441579679
2,classification,classification_separation_weighted,1.3001248263350627
2,classification,primary,0.59678960197445
2,classification,routing_weighted,0.27123418531244914
2,regression,confidence_weighted,0.003494358852536909
2,regression,primary,1.5058034700396985
2,regression,regression/bias_weighted,0.0
2,regression,regression/huber_weighted,0.0
2,regression,regression/log_rmse_weighted,0.0
2,regression,regression/mae_weighted,0.0
2,regression,regression/median_ae_weighted,0.0
2,regression,regression/quantile_weighted,0.0
2,regression,regression/r2_weighted,1.5058034700396985
2,regression,regression/relative_mae_weighted,0.0
2,regression,regression/rmse_weighted,0.0
2,regression,regression_gate_aux_weighted,0.015035459086184106
2,regression,routing_weighted,0.011041015373992005
3,classification,classification/accuracy_surrogate_weighted,0.0712631152415367
3,classification,classification/balanced_accuracy_surrogate_weighted,0.07222858987532536
3,classification,classification/brier_surrogate_weighted,0.0990312345091021
3,classification,classification/macro_f1_surrogate_weighted,0.07277440851976816
3,classification,classification/nll_surrogate_weighted,0.0591060460478769
3,classification,classification_separation_weighted,1.2205075462293082
3,classification,primary,0.2703365039585032
3,classification,routing_weighted,0.4911244583602641
3,regression,confidence_weighted,0.01626344949319296
3,regression,primary,1.1452262349272802
3,regression,regression/bias_weighted,0.0
3,regression,regression/huber_weighted,0.0
3,regression,regression/log_rmse_weighted,0.0
3,regression,regression/mae_weighted,0.0
3,regression,regression/median_ae_weighted,0.0
3,regression,regression/quantile_weighted,0.0
3,regression,regression/r2_weighted,1.1452262349272802
3,regression,regression/relative_mae_weighted,0.0
3,regression,regression/rmse_weighted,0.0
3,regression,regression_gate_aux_weighted,0.014411425357813163
3,regression,routing_weighted,0.05164590477687037
4,classification,classification/accuracy_surrogate_weighted,0.1535475417065322
4,classification,classification/balanced_accuracy_surrogate_weighted,0.1535475417065322
4,classification,classification/brier_surrogate_weighted,0.1262448208569837
4,classification,classification/macro_f1_surrogate_weighted,0.15083493331613046
4,classification,classification/nll_surrogate_weighted,0.06265052124075765
4,classification,classification_separation_weighted,1.6709633704438767
4,classification,primary,0.5165615113535936
4,classification,routing_weighted,0.4867430605871276
4,regression,confidence_weighted,0.04585959794549932
4,regression,primary,1.159946951241987
4,regression,regression/bias_weighted,0.0
4,regression,regression/huber_weighted,0.0
4,regression,regression/log_rmse_weighted,0.0
4,regression,regression/mae_weighted,0.0
4,regression,regression/median_ae_weighted,0.0
4,regression,regression/quantile_weighted,0.0
4,regression,regression/r2_weighted,1.159946951241987
4,regression,regression/relative_mae_weighted,0.0
4,regression,regression/rmse_weighted,0.0
4,regression,regression_gate_aux_weighted,0.02182179018938806
4,regression,routing_weighted,0.15435386997723843
5,classification,classification/accuracy_surrogate_weighted,0.19510068235615635
5,classification,classification/balanced_accuracy_surrogate_weighted,0.19510068235615635
5,classification,classification/brier_surrogate_weighted,0.1800879792801024
5,classification,classification/macro_f1_surrogate_weighted,0.18986305500683703
5,classification,classification/nll_surrogate_weighted,0.08676835717164325
5,classification,classification_separation_weighted,1.2904863028834797
5,classification,primary,0.7858201796837009
5,classification,routing_weighted,0.32061964521342406
5,regression,confidence_weighted,0.022412588996893062
5,regression,primary,1.345617741688069
5,regression,regression/bias_weighted,0.0
5,regression,regression/huber_weighted,0.0
5,regression,regression/log_rmse_weighted,0.0
5,regression,regression/mae_weighted,0.0
5,regression,regression/median_ae_weighted,0.0
5,regression,regression/quantile_weighted,0.0
5,regression,regression/r2_weighted,1.345617741688069
5,regression,regression/relative_mae_weighted,0.0
5,regression,regression/rmse_weighted,0.0
5,regression,regression_gate_aux_weighted,0.011536820955275954
5,regression,routing_weighted,0.06984093729240948
6,classification,classification/accuracy_surrogate_weighted,0.6195116566061099
