epoch,task,pool,log,metric,mean
2,classification,5,quote2order,head/classification/nll,1.0697303581832638
2,classification,5,quote2order,loss/total,2.593754291534424
2,classification,6,opp2quote,head/classification/accuracy,0.1875
2,classification,6,opp2quote,head/classification/nll,2.9807141390629113
2,classification,6,opp2quote,loss/total,4.628673076629639
2,classification,7,lead2opp,head/classification/accuracy,0.0
2,classification,7,lead2opp,head/classification/nll,2.6300242096185684
2,classification,7,lead2opp,loss/total,4.231643199920654
2,classification,8,p2p,head/classification/accuracy,0.3203125
2,classification,8,p2p,head/classification/nll,2.2714532979298383
2,classification,8,p2p,loss/total,3.9005792140960693
2,classification,9,rid2mit,head/classification/accuracy,0.328125
2,classification,9,rid2mit,head/classification/nll,2.396211524726823
2,classification,9,rid2mit,loss/total,4.116056442260742
2,regression,0,o2c,head/regression/error_p90_hours,103.29235076904297
2,regression,0,o2c,head/regression/mae_hours,48.551841735839844
2,regression,0,o2c,head/regression/relative_mae,4.22745943069458
2,regression,0,o2c,loss/total,2.811461925506592
2,regression,1,hire2retire,head/regression/error_p90_hours,118.34121704101562
2,regression,1,hire2retire,head/regression/mae_hours,44.15204620361328
2,regression,1,hire2retire,head/regression/relative_mae,3.1435136795043945
2,regression,1,hire2retire,loss/total,1.3519845008850098
2,regression,10,req2receipt,head/regression/error_p90_hours,82.87663269042969
2,regression,10,req2receipt,head/regression/mae_hours,38.05096435546875
2,regression,10,req2receipt,head/regression/relative_mae,1.1875224113464355
2,regression,10,req2receipt,loss/total,1.3284058570861816
2,regression,2,di2re,head/regression/error_p90_hours,42.862545013427734
2,regression,2,di2re,head/regression/mae_hours,16.83694076538086
2,regression,2,di2re,head/regression/relative_mae,1.1259386539459229
2,regression,2,di2re,loss/total,1.7624449729919434
2,regression,3,mak2stock,head/regression/error_p90_hours,69.74675750732422
2,regression,3,mak2stock,head/regression/mae_hours,32.306724548339844
2,regression,3,mak2stock,head/regression/relative_mae,0.9232594966888428
2,regression,3,mak2stock,loss/total,1.6455328464508057
2,regression,4,offer2accept,head/regression/error_p90_hours,47.3194465637207
2,regression,4,offer2accept,head/regression/mae_hours,19.57941436767578
2,regression,4,offer2accept,head/regression/relative_mae,0.6266440153121948
2,regression,4,offer2accept,loss/total,1.5986521244049072
2,regression,5,quote2order,head/regression/error_p90_hours,141.91783142089844
2,regression,5,quote2order,head/regression/mae_hours,59.631752014160156
2,regression,5,quote2order,head/regression/relative_mae,1.9116507768630981
2,regression,5,quote2order,loss/total,1.4156956672668457
2,regression,6,opp2quote,head/regression/error_p90_hours,59.630863189697266
2,regression,6,opp2quote,head/regression/mae_hours,26.150646209716797
2,regression,6,opp2quote,head/regression/relative_mae,1.7256040573120117
2,regression,6,opp2quote,loss/total,1.488633155822754
2,regression,7,lead2opp,head/regression/error_p90_hours,145.16737365722656
2,regression,7,lead2opp,head/regression/mae_hours,59.40602111816406
2,regression,7,lead2opp,head/regression/relative_mae,2.013214349746704
2,regression,7,lead2opp,loss/total,1.598992109298706
2,regression,8,p2p,head/regression/error_p90_hours,21880.119140625
2,regression,8,p2p,head/regression/mae_hours,9384.8671875
2,regression,8,p2p,head/regression/relative_mae,119.63821411132812
2,regression,8,p2p,loss/total,7.44989538192749
2,regression,9,rid2mit,head/regression/error_p90_hours,20.497146606445312
2,regression,9,rid2mit,head/regression/mae_hours,11.601909637451172
2,regression,9,rid2mit,head/regression/relative_mae,0.9213554263114929
2,regression,9,rid2mit,loss/total,1.5247735977172852
3,classification,0,o2c,head/classification/accuracy,0.0
3,classification,0,o2c,head/classification/nll,2.7991156252101064
3,classification,0,o2c,loss/total,4.3667097091674805
3,classification,1,hire2retire,head/classification/accuracy,0.0
3,classification,1,hire2retire,head/classification/nll,2.3296946845948696
3,classification,1,hire2retire,loss/total,3.875211477279663
3,classification,10,req2receipt,head/classification/accuracy,0.328125
3,classification,10,req2receipt,head/classification/nll,2.590109000913799
3,classification,10,req2receipt,loss/total,4.147511959075928
3,classification,2,di2re,head/classification/accuracy,0.3114754098360656
3,classification,2,di2re,head/classification/nll,2.231734716745674
3,classification,2,di2re,loss/total,3.868136167526245
3,classification,3,mak2stock,head/classification/accuracy,0.21875
3,classification,3,mak2stock,head/classification/nll,2.988950753118843
3,classification,3,mak2stock,loss/total,4.535038471221924
3,classification,4,offer2accept,head/classification/accuracy,0.0
3,classification,4,offer2accept,head/classification/nll,2.312848181463778
3,classification,4,offer2accept,loss/total,3.8821942806243896
3,classification,5,quote2order,head/classification/accuracy,0.8145161290322581
3,classification,5,quote2order,head/classification/nll,0.8752457768536143
3,classification,5,quote2order,loss/total,2.3868792057037354
3,classification,6,opp2quote,head/classification/accuracy,0.109375
3,classification,6,opp2quote,head/classification/nll,2.9221120425499976
3,classification,6,opp2quote,loss/total,4.544304847717285
3,classification,7,lead2opp,head/classification/accuracy,0.0
3,classification,7,lead2opp,head/classification/nll,2.522384962067008
3,classification,7,lead2opp,loss/total,4.145951271057129
3,classification,8,p2p,head/classification/accuracy,0.28125
3,classification,8,p2p,head/classification/nll,2.1738377950387076
3,classification,8,p2p,loss/total,3.75111985206604
3,classification,9,rid2mit,head/classification/accuracy,0.375
3,classification,9,rid2mit,head/classification/nll,2.5640536760911345
3,classification,9,rid2mit,loss/total,4.1777777671813965
3,regression,0,o2c,head/regression/error_p90_hours,104.39769744873047
3,regression,0,o2c,head/regression/mae_hours,44.260902404785156
3,regression,0,o2c,head/regression/relative_mae,2.8448638916015625
3,regression,0,o2c,loss/total,2.6730525493621826
3,regression,1,hire2retire,head/regression/error_p90_hours,115.71559143066406
3,regression,1,hire2retire,head/regression/mae_hours,42.32891082763672
3,regression,1,hire2retire,head/regression/relative_mae,2.754343032836914
3,regression,1,hire2retire,loss/total,1.3261338472366333
3,regression,10,req2receipt,head/regression/error_p90_hours,92.27181243896484
3,regression,10,req2receipt,head/regression/mae_hours,40.64291763305664
3,regression,10,req2receipt,head/regression/relative_mae,0.9538393616676331
3,regression,10,req2receipt,loss/total,1.3424116373062134
3,regression,2,di2re,head/regression/error_p90_hours,48.29062271118164
3,regression,2,di2re,head/regression/mae_hours,17.52346420288086
3,regression,2,di2re,head/regression/relative_mae,1.020298719406128
3,regression,2,di2re,loss/total,1.8041846752166748
3,regression,3,mak2stock,head/regression/error_p90_hours,70.07447814941406
3,regression,3,mak2stock,head/regression/mae_hours,31.43967056274414
3,regression,3,mak2stock,head/regression/relative_mae,0.8216806650161743
3,regression,3,mak2stock,loss/total,1.6164193153381348
3,regression,4,offer2accept,head/regression/error_p90_hours,48.35356140136719
3,regression,4,offer2accept,head/regression/mae_hours,18.98233413696289
3,regression,4,offer2accept,head/regression/relative_mae,0.5336695909500122
3,regression,4,offer2accept,loss/total,1.5749151706695557
3,regression,5,quote2order,head/regression/error_p90_hours,125.3685302734375
3,regression,5,quote2order,head/regression/mae_hours,54.53777313232422
3,regression,5,quote2order,head/regression/relative_mae,1.6320514678955078
3,regression,5,quote2order,loss/total,1.3711106777191162
3,regression,6,opp2quote,head/regression/error_p90_hours,63.5452766418457
3,regression,6,opp2quote,head/regression/mae_hours,25.945510864257812
3,regression,6,opp2quote,head/regression/relative_mae,1.444993495941162
3,regression,6,opp2quote,loss/total,1.4720605611801147
3,regression,7,lead2opp,head/regression/error_p90_hours,145.82582092285156
3,regression,7,lead2opp,head/regression/mae_hours,56.78276062011719
3,regression,7,lead2opp,head/regression/relative_mae,1.317775845527649
3,regression,7,lead2opp,loss/total,1.543572187423706
3,regression,8,p2p,head/regression/error_p90_hours,22850.802734375
3,regression,8,p2p,head/regression/mae_hours,9139.888671875
3,regression,8,p2p,head/regression/relative_mae,53.968116760253906
3,regression,8,p2p,loss/total,5.553564548492432
3,regression,9,rid2mit,head/regression/error_p90_hours,20.38364601135254
3,regression,9,rid2mit,head/regression/mae_hours,11.593018531799316
3,regression,9,rid2mit,head/regression/relative_mae,0.8651735186576843
3,regression,9,rid2mit,loss/total,1.5107183456420898
4,classification,0,o2c,head/classification/accuracy,0.0
4,classification,0,o2c,head/classification/nll,2.7559437192976475
4,classification,0,o2c,loss/total,4.330356597900391
4,classification,1,hire2retire,head/classification/accuracy,0.015625
4,classification,1,hire2retire,head/classification/nll,2.247387196868658
4,classification,1,hire2retire,loss/total,3.7881791591644287
4,classification,10,req2receipt,head/classification/accuracy,0.34375
4,classification,10,req2receipt,head/classification/nll,2.410287070670165
4,classification,10,req2receipt,loss/total,3.95871901512146
4,classification,2,di2re,head/classification/accuracy,0.3524590163934426
4,classification,2,di2re,head/classification/nll,2.0601041082476006
4,classification,2,di2re,loss/total,3.7268669605255127
4,classification,3,mak2stock,head/classification/accuracy,0.21875
4,classification,3,mak2stock,head/classification/nll,2.9635424080770463
4,classification,3,mak2stock,loss/total,4.521369457244873
4,classification,4,offer2accept,head/classification/accuracy,0.0
4,classification,4,offer2accept,head/classification/nll,2.2087278915569186
4,classification,4,offer2accept,loss/total,3.783538341522217
4,classification,5,quote2order,head/classification/accuracy,0.8225806451612904
4,classification,5,quote2order,head/classification/nll,0.8276732265047969
4,classification,5,quote2order,loss/total,2.2984938621520996
4,classification,6,opp2quote,head/classification/accuracy,0.140625
4,classification,6,opp2quote,head/classification/nll,2.7394046899862587
4,classification,6,opp2quote,loss/total,4.348282814025879
4,classification,7,lead2opp,head/classification/accuracy,0.0
4,classification,7,lead2opp,head/classification/nll,2.3358612777665257
4,classification,7,lead2opp,loss/total,3.9601151943206787
4,classification,8,p2p,head/classification/accuracy,0.359375
4,classification,8,p2p,head/classification/nll,2.1305846218019724
4,classification,8,p2p,loss/total,3.724733591079712
