checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,classification,50,50,1152,54878,0.9028390049934387,,0.895,0.007839004993438703,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,regression,100,100,1152,54878,,1144.447509765625,1160.7777,-16.330190234375095,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,classification,100,100,2195,54878,0.905809223651886,,0.92,-0.014190776348114054,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,regression,200,200,2195,54878,,1139.5992431640625,1186.553,-46.95375683593761,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,classification,10,10,50,2430,0.739506185054779,,0.725,0.014506185054779075,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,regression,20,20,50,2430,,0.19561873376369476,0.196,-0.00038126623630524437,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,classification,50,50,93,2430,0.7238683104515076,,0.785,-0.06113168954849246,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,regression,10,10,93,2430,,0.18538033962249756,0.2021,-0.016719660377502443,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,classification,1,1,34,1218,0.6822659969329834,,0.68,0.0022659969329833496,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,1218,,86.07454681396484,97.1067,-11.03215318603516,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,classification,10,10,41,1218,0.7405582666397095,,0.785,-0.04444173336029056,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,regression,50,41,41,1218,,78.59503936767578,102.524,-23.92896063232422,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,roadtraffic_10000,0.5,classification,20,20,79,3461,0.8722912669181824,,0.85,0.022291266918182395,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,roadtraffic_10000,0.5,regression,100,79,79,3461,,4879.33447265625,4459.555,419.7794726562497,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,roadtraffic_10000,1.0,classification,50,50,166,3461,0.8520658612251282,,0.855,-0.0029341387748718084,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,roadtraffic_10000,1.0,regression,100,100,166,3461,,4900.2666015625,4592.9824,307.28420156250013,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,sepsis,0.5,classification,50,50,71,2610,0.4406130313873291,,0.4458,-0.0051869686126708725,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,sepsis,0.5,regression,20,20,71,2610,,953.1641845703125,703.1954,249.96878457031255,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,sepsis,1.0,classification,50,50,225,2610,0.5310344696044922,,0.4663,0.0647344696044922,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,sepsis,1.0,regression,100,100,225,2610,,1276.51318359375,936.7253,339.78788359375005,False,best metric; smallest k on ties
