checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,billing,0.5,classification,50,50,1152,200,0.8700000047683716,,0.895,-0.024999995231628436,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,billing,0.5,regression,200,200,1152,200,,1077.763427734375,1160.7777,-83.0142722656251,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,billing,1.0,classification,5,5,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,billing,1.0,regression,200,200,2195,200,,1137.6978759765625,1186.553,-48.85512402343761,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,helpdesk,0.5,classification,20,20,50,200,0.6949999928474426,,0.725,-0.03000000715255735,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,helpdesk,0.5,regression,50,50,50,200,,0.19691826403141022,0.196,0.0009182640314102097,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,helpdesk,1.0,classification,20,20,93,200,0.6800000071525574,,0.785,-0.10499999284744266,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,helpdesk,1.0,regression,50,50,93,200,,0.18453237414360046,0.2021,-0.017567625856399538,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,receipt,0.5,classification,5,5,34,200,0.6949999928474426,,0.68,0.014999992847442578,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,receipt,0.5,regression,50,34,34,200,,77.99142456054688,97.1067,-19.11527543945313,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,receipt,1.0,classification,10,10,41,200,0.6949999928474426,,0.785,-0.0900000071525574,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,receipt,1.0,regression,50,41,41,200,,63.07844543457031,102.524,-39.44555456542969,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,roadtraffic_10000,0.5,classification,20,20,79,200,0.8949999809265137,,0.85,0.044999980926513694,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,roadtraffic_10000,0.5,regression,50,50,79,200,,4481.18115234375,4459.555,21.62615234374971,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,roadtraffic_10000,1.0,regression,100,100,166,200,,4416.26318359375,4592.9824,-176.71921640624987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,sepsis,0.5,classification,20,20,71,200,0.5299999713897705,,0.4458,0.08419997138977053,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,sepsis,0.5,regression,100,71,71,200,,1072.6485595703125,703.1954,369.45315957031255,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,sepsis,1.0,classification,50,50,225,200,0.6100000143051147,,0.4663,0.14370001430511475,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_10.pth,10,sepsis,1.0,regression,100,100,225,200,,1378.9200439453125,936.7253,442.19474394531255,False,best metric; smallest k on ties
