checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8849999904632568,,0.895,-0.010000009536743182,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1073.509765625,1160.7777,-87.2679343750001,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,1.0,classification,10,10,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1143.635498046875,1186.553,-42.91750195312511,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,helpdesk,0.5,classification,20,20,50,200,0.7149999737739563,,0.725,-0.010000026226043679,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,200,,0.19632099568843842,0.196,0.000320995688438408,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,helpdesk,1.0,classification,20,20,93,200,0.699999988079071,,0.785,-0.08500001192092899,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,helpdesk,1.0,regression,50,50,93,200,,0.18666553497314453,0.2021,-0.01543446502685547,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,receipt,0.5,classification,1,1,34,200,0.7099999785423279,,0.68,0.029999978542327832,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,200,,75.35611724853516,97.1067,-21.750582751464847,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,receipt,1.0,classification,20,20,41,200,0.7200000286102295,,0.785,-0.06499997138977054,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,receipt,1.0,regression,50,41,41,200,,62.996620178222656,102.524,-39.527379821777345,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,50,50,79,200,0.8849999904632568,,0.85,0.03499999046325686,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,50,50,79,200,,4423.7041015625,4459.555,-35.85089843750029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,200,,4344.8779296875,4592.9824,-248.10447031249987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,sepsis,0.5,classification,20,20,71,200,0.5249999761581421,,0.4458,0.07919997615814212,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,200,,1032.8560791015625,703.1954,329.66067910156255,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,sepsis,1.0,classification,10,10,225,200,0.6000000238418579,,0.4663,0.13370002384185792,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,sepsis,1.0,regression,100,100,225,200,,1375.2867431640625,936.7253,438.56144316406255,False,best metric; smallest k on ties
