checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,classification,100,100,1152,200,0.8849999904632568,,0.895,-0.010000009536743182,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1069.5101318359375,1160.7777,-91.2675681640626,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,1.0,classification,20,20,2195,200,0.875,,0.92,-0.04500000000000004,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1147.5771484375,1186.553,-38.97585156250011,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,helpdesk,0.5,classification,20,20,50,200,0.7049999833106995,,0.725,-0.020000016689300515,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,200,,0.19624735414981842,0.196,0.00024735414981841286,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,helpdesk,1.0,classification,20,20,93,200,0.699999988079071,,0.785,-0.08500001192092899,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,helpdesk,1.0,regression,50,50,93,200,,0.18551041185855865,0.2021,-0.016589588141441347,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,receipt,0.5,classification,1,1,34,200,0.7350000143051147,,0.68,0.0550000143051147,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,200,,73.6138687133789,97.1067,-23.492831286621097,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,receipt,1.0,classification,20,20,41,200,0.7400000095367432,,0.785,-0.04499999046325687,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,receipt,1.0,regression,50,41,41,200,,62.936180114746094,102.524,-39.58781988525391,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,50,50,79,200,0.8799999952316284,,0.85,0.02999999523162844,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,100,79,79,200,,4434.06640625,4459.555,-25.48859375000029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,200,,4358.24169921875,4592.9824,-234.74070078124987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,sepsis,0.5,classification,20,20,71,200,0.5350000262260437,,0.4458,0.08920002622604373,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,200,,1049.4093017578125,703.1954,346.21390175781255,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,sepsis,1.0,classification,10,10,225,200,0.6150000095367432,,0.4663,0.14870000953674317,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,sepsis,1.0,regression,100,100,225,200,,1374.9437255859375,936.7253,438.21842558593755,False,best metric; smallest k on ties
