task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,05_global_local,main,billing,0,natural,1,4,configured,balanced,1.0,5,208,0.7596153846153846,0.3361990950226244,0.2624434389140271,0.3143333333333333,0.31661616161616163,0.6,0.9038461538461539,0.4,1.0,0.8404977375565611,3.6030670836019385,0.6371330112849767,0.3827955655467051,0.27203648646210443,,,,,,,,
classification,05_global_local,main,billing,0,natural,1,4,configured,balanced,1.0,20,208,0.7596153846153846,0.3361990950226244,0.2624434389140271,0.3143333333333333,0.31661616161616163,0.6,0.9038461538461539,0.4,1.0,0.8404977375565611,3.6030670836019385,0.6371330112849767,0.3827955655467051,0.27203648646210443,,,,,,,,
classification,05_global_local,main,billing,0,natural,1,4,configured,balanced,1.0,50,208,0.7596153846153846,0.3361990950226244,0.2624434389140271,0.3143333333333333,0.31661616161616163,0.6,0.9038461538461539,0.4,1.0,0.8404977375565611,3.6030670836019385,0.6371330112849767,0.3827955655467051,0.27203648646210443,,,,,,,,
classification,05_global_local,main,billing,0,natural,1,4,configured,natural,1.0,5,208,0.7596153846153846,0.3361990950226244,0.2624434389140271,0.3143333333333333,0.31661616161616163,0.6,0.9038461538461539,0.4,1.0,0.8404977375565611,3.6030670836019385,0.6371330112849767,0.3827955655467051,0.27203648646210443,,,,,,,,
classification,05_global_local,main,billing,0,natural,1,4,configured,natural,1.0,20,208,0.7596153846153846,0.3361990950226244,0.2624434389140271,0.3143333333333333,0.31661616161616163,0.6,0.9038461538461539,0.4,1.0,0.8404977375565611,3.6030670836019385,0.6371330112849767,0.3827955655467051,0.27203648646210443,,,,,,,,
classification,05_global_local,main,billing,0,natural,1,4,configured,natural,1.0,50,208,0.7596153846153846,0.3361990950226244,0.2624434389140271,0.3143333333333333,0.31661616161616163,0.6,0.9038461538461539,0.4,1.0,0.8404977375565611,3.6030670836019385,0.6371330112849767,0.3827955655467051,0.27203648646210443,,,,,,,,
regression,05_global_local,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,1146.3753422671036,920.4825100328526,0.8987278161304286,-0.047742486525417016,-0.047742486525417016,0.1546649313756181,0.2644230769230769,1268.9186567118097
classification,05_global_local,main,billing,0,natural,2,7,configured,balanced,1.0,5,208,0.8413461538461539,0.37092760180995477,0.30103066867772754,0.345875850340136,0.35476379066478075,0.6,0.9038461538461539,0.38823529411764707,0.9705882352941176,0.9567307692307692,3.5949299585311842,0.6294626900415415,0.462313564780813,0.24634571888420714,,,,,,,,
classification,05_global_local,main,billing,0,natural,2,7,configured,balanced,1.0,20,208,0.8365384615384616,0.3690045248868778,0.2988939165409753,0.34358108108108104,0.35250704225352114,0.6,0.9038461538461539,0.4,1.0,0.9225113122171945,3.559578841771338,0.6120565877959611,0.4377224419552545,0.26125705716995407,,,,,,,,
classification,05_global_local,main,billing,0,natural,2,7,configured,balanced,1.0,50,208,0.8365384615384616,0.3690045248868778,0.2988939165409753,0.34358108108108104,0.35250704225352114,0.6,0.9038461538461539,0.4,1.0,0.9225113122171945,3.559578841771338,0.6120565877959611,0.4377224419552545,0.26125705716995407,,,,,,,,
