checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8050000071525574,,0.895,-0.08999999284744264,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1059.1429443359375,1160.7777,-101.6347556640626,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,billing,1.0,classification,20,20,2195,200,0.8149999976158142,,0.92,-0.10500000238418583,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1072.7032470703125,1186.553,-113.84975292968761,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,helpdesk,0.5,classification,20,20,50,200,0.6899999976158142,,0.725,-0.03500000238418577,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,helpdesk,0.5,regression,20,20,50,200,,0.18476909399032593,0.196,-0.01123090600967408,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,helpdesk,1.0,classification,20,20,93,200,0.6949999928474426,,0.785,-0.0900000071525574,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,helpdesk,1.0,regression,50,50,93,200,,0.17568840086460114,0.2021,-0.026411599135398867,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,receipt,0.5,classification,20,20,34,200,0.6700000166893005,,0.68,-0.009999983310699512,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,200,,83.36610412597656,97.1067,-13.740595874023441,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,receipt,1.0,classification,10,10,41,200,0.7149999737739563,,0.785,-0.07000002622604373,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,receipt,1.0,regression,10,10,41,200,,63.948062896728516,102.524,-38.575937103271485,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,50,50,79,200,0.875,,0.85,0.025000000000000022,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,50,50,79,200,,4413.3935546875,4459.555,-46.16144531250029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,200,,4421.80029296875,4592.9824,-171.18210703124987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,sepsis,0.5,classification,100,71,71,200,0.5049999952316284,,0.4458,0.059199995231628444,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,200,,1062.8460693359375,703.1954,359.65066933593755,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,sepsis,1.0,classification,50,50,225,200,0.5950000286102295,,0.4663,0.1287000286102295,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_20.pth,20,sepsis,1.0,regression,100,100,225,200,,1369.075927734375,936.7253,432.35062773437505,False,best metric; smallest k on ties
