checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8899999856948853,,0.895,-0.005000014305114764,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1069.994140625,1160.7777,-90.7835593750001,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,billing,1.0,classification,10,10,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1153.97705078125,1186.553,-32.57594921875011,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,helpdesk,0.5,classification,20,20,50,200,0.699999988079071,,0.725,-0.025000011920928933,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,200,,0.19642934203147888,0.196,0.0004293420314788743,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,helpdesk,1.0,classification,50,50,93,200,0.6949999928474426,,0.785,-0.0900000071525574,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,helpdesk,1.0,regression,50,50,93,200,,0.18639518320560455,0.2021,-0.01570481679439545,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,receipt,0.5,classification,1,1,34,200,0.7049999833106995,,0.68,0.024999983310699414,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,200,,74.19012451171875,97.1067,-22.916575488281254,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,receipt,1.0,classification,20,20,41,200,0.7149999737739563,,0.785,-0.07000002622604373,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,receipt,1.0,regression,50,41,41,200,,62.99631881713867,102.524,-39.52768118286133,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,50,50,79,200,0.8799999952316284,,0.85,0.02999999523162844,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,50,50,79,200,,4449.0625,4459.555,-10.492500000000291,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,200,,4392.24755859375,4592.9824,-200.73484140624987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,sepsis,0.5,classification,50,50,71,200,0.5450000166893005,,0.4458,0.09920001668930056,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,200,,1037.93115234375,703.1954,334.73575234375005,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,sepsis,1.0,classification,20,20,225,200,0.6150000095367432,,0.4663,0.14870000953674317,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_rmse/model_epoch_20.pth,20,sepsis,1.0,regression,100,100,225,200,,1371.028076171875,936.7253,434.30277617187505,False,best metric; smallest k on ties
