task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,example_selector_confirmation,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.723076923076923,1,1.0,1,1.0,1.0,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3525395464074709,0.36715927750410515,0.6,0.9038461538461539,0.4,1.0,0.9632352941176471,3.1213222691928233,0.2856719056428925,0.2512172594596764,0.27817732253073235,,,,,,,,,,,,,
regression,example_selector_confirmation,,billing,0,natural,1,4,,,,50,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1095.0073159706922,1806.5639323905798,885.6532361191894,0.8584566480494706,-0.0007941079138635843,0.14891498478133203,-0.0007941079138635843,0.17006136400155247,0.10096153846153846,373.6427327669584,learned_transform_ensemble,4,dynamic
classification,example_selector_confirmation,main,billing,0,natural,2,7,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.1971153846153846,2.610576923076923,0.7491452991452993,1,1.0,1,1.0,1.0,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3525395464074709,0.36715927750410515,0.6,0.9038461538461539,0.4,1.0,0.9632352941176471,3.0495578140508846,0.2733353339442842,0.22616444842306174,0.2797373553387073,,,,,,,,,,,,,
regression,example_selector_confirmation,,billing,0,natural,2,7,,,,50,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,959.762014565918,1957.0316385158562,417.43219496853635,0.7524279243916185,0.12281483861536235,0.07802858676269708,0.12281483861536246,0.026053714825928442,0.6826923076923077,1243.2840391305776,learned_transform_ensemble,4,dynamic
classification,example_selector_confirmation,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,1,1.0,1,1.0,1.0,0.7980769230769231,0.38235294117647056,0.3137254901960784,0.35007922894715343,0.33789574600454875,0.5,0.9134615384615384,0.5,1.0,0.7647058823529412,2.8128052814235054,0.3044502961921448,0.153979960493662,0.24954424237534767,,,,,,,,,,,,,
regression,example_selector_confirmation,,billing,0,natural,4,15,,,,50,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,877.4261507109368,1876.0972309974456,273.06765975939516,0.6878787942914718,0.1980666165845506,0.11615735719783504,0.19806661658455071,0.10494443563704603,0.7067307692307693,1100.6156322772686,learned_transform_ensemble,4,dynamic
classification,example_selector_confirmation,main,billing,0,natural,8,28,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,4.375,2.639423076923077,0.5983347534818122,1,1.0,1,1.0,1.0,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.35484113370905823,0.368360105661455,0.6,0.9134615384615384,0.5,1.0,0.7705882352941177,2.9155314678499384,0.25850154259731356,0.13744571000153624,0.26281168587499903,,,,,,,,,,,,,
regression,example_selector_confirmation,,billing,0,natural,8,28,,,,50,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,884.0096929040454,1882.8075609392715,271.2762617258413,0.6930401164862722,0.19204951501822476,0.11299607341580808,0.19204951501822487,0.09853020587970174,0.6875,1094.6024224207952,learned_transform_ensemble,4,dynamic
classification,example_selector_confirmation,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,1,1.0,1,1.0,1.0,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3525395464074709,0.36715927750410515,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7933333333333333,2.6755126455779927,0.22598500491920082,0.0619141086528559,0.18688142667791324,,,,,,,,,,,,,
regression,example_selector_confirmation,,billing,0,natural,16,59,,,,50,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,805.3634745611398,1726.6664404123171,282.16125493109837,0.6313835704561956,0.26392910045963736,0.186555256989286,0.26392910045963736,0.24184813414348394,0.8990384615384616,2944.559049166166,learned_transform_ensemble,4,dynamic
