task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,example_selector_head_only_reference,neural_head_only,billing,0,natural,1,4,configured,balanced,1.0,20,208,3,0.5,0.75,0.5,,,,,1,1.0,1,1.0,1.0,0.8413461538461539,0.36990950226244346,0.29989944695827053,0.34304380427970277,0.3533035869332341,0.6,0.9038461538461539,0.4,1.0,0.9247737556561085,2.979233938077926,0.26617659302934293,0.06083920612358126,0.06675919103466801,,,,,,,,,,,,,
classification,example_selector_head_only_reference,neural_head_only,billing,0,natural,4,15,configured,balanced,1.0,20,208,3,0.5,0.75,0.5,,,,,1,1.0,1,1.0,1.0,0.7548076923076923,0.3650452488687783,0.29449472096530926,0.33957947232947233,0.3223564197067326,0.5,0.9134615384615384,0.5,1.0,0.7300904977375566,2.7911098778807877,0.3245963479931502,0.11926386362084977,0.07776728085712792,,,,,,,,,,,,,
classification,example_selector_head_only_reference,neural_head_only,billing,0,natural,16,59,configured,balanced,1.0,20,208,3,0.5,0.75,0.5,,,,,1,1.0,1,1.0,1.0,0.8509615384615384,0.3737556561085973,0.3041729512317748,0.3442829332991058,0.3564780763790665,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7856410256410257,2.6904327025469112,0.25628254095247666,0.08183725479130557,0.059081175310578556,,,,,,,,,,,,,
classification,example_selector_head_only_reference,neural_head_only,billing,0,natural,64,255,configured,balanced,1.0,20,208,3,0.5,0.75,0.5,,,,,1,1.0,1,1.0,1.0,0.8557692307692307,0.37928959276018104,0.3103217697335345,0.34268900012835324,0.35886176411492865,0.6,0.9519230769230769,0.5470588235294118,0.7815126050420168,0.6320007770007771,1.903419325940437,0.21831084356362482,0.06236687116324908,0.1059061267316274,,,,,,,,,,,,,
classification,example_selector_head_only_reference,neural_head_only,billing,0,natural,128,514,configured,balanced,1.0,20,208,3,0.5,0.75,0.5,,,,,1,1.0,1,1.0,1.0,0.875,0.3861945701357466,0.3179939668174962,0.35385194307608103,0.3692063492063492,0.6,0.9711538461538461,0.5333333333333333,0.6666666666666667,0.5517065287653523,1.28976937644595,0.20616807304640605,0.09127332055224824,0.04988734072649481,,,,,,,,,,,,,
classification,example_selector_head_only_reference,neural_head_only,billing,1,natural,1,3,configured,balanced,1.0,20,208,3,0.5,0.75,0.5,,,,,1,1.0,1,1.0,1.0,0.6923076923076923,0.28076923076923077,0.20085470085470084,0.21751898734177216,0.24186603453737257,0.7,0.7403846153846154,0.3,1.0,0.9358974358974358,7.392847087115522,0.4856144071417748,0.17803184817043638,0.10457877375018196,,,,,,,,,,,,,
classification,example_selector_head_only_reference,neural_head_only,billing,1,natural,4,13,configured,balanced,1.0,20,208,3,0.5,0.75,0.5,,,,,1,1.0,1,1.0,1.0,0.8365384615384616,0.36798642533936654,0.2977626948215184,0.3467305194805195,0.35342496871824297,0.6,0.9038461538461539,0.4,1.0,0.9199660633484162,2.9673613515372277,0.27975370629607055,0.06982243147033912,0.06329346670400973,,,,,,,,,,,,,
classification,example_selector_head_only_reference,neural_head_only,billing,1,natural,16,61,configured,balanced,1.0,20,208,3,0.5,0.75,0.5,,,,,1,1.0,1,1.0,1.0,0.875,0.5016968325791855,0.4463298139768728,0.47821559392987967,0.48004524237589996,0.4,0.9711538461538461,0.7294871794871794,0.9118589743589745,0.6942364253393665,1.3730535498852987,0.2203430854477936,0.06136327681060019,0.06561114322986397,,,,,,,,,,,,,
classification,example_selector_head_only_reference,neural_head_only,billing,1,natural,64,255,configured,balanced,1.0,20,208,3,0.5,0.75,0.5,,,,,1,1.0,1,1.0,1.0,0.8846153846153846,0.616209653092006,0.5735662812133401,0.637665414496713,0.5786700116939979,0.2,0.9807692307692307,0.8666666666666668,0.9629629629629629,0.6939366515837104,1.3052230153828843,0.19068207099839138,0.08547124152000134,0.040128231456500234,,,,,,,,,,,,,
classification,example_selector_head_only_reference,neural_head_only,billing,1,natural,128,500,configured,balanced,1.0,20,208,3,0.5,0.75,0.5,,,,,1,1.0,1,1.0,1.0,0.8990384615384616,0.5739788838612369,0.5266432042902632,0.6414291762588975,0.5716518011580073,0.2,0.9807692307692307,0.8166666666666668,0.9074074074074073,0.702569130216189,1.2486282612425206,0.17493677802072846,0.08456279566654795,0.059016871564668665,,,,,,,,,,,,,
