task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,03_global_prototypes,main,billing,0,natural,1,4,configured,balanced,1.0,5,208,0.7163461538461539,0.31889140271493216,0.24321266968325794,0.30144591682121946,0.29488407897861746,0.6,0.9038461538461539,0.4,1.0,0.7972285067873304,3.5279972798117636,0.6033760998158193,0.29927386415119356,0.31522085255600873,,,,,,,,
classification,03_global_prototypes,main,billing,0,natural,1,4,configured,balanced,1.0,20,208,0.7163461538461539,0.31889140271493216,0.24321266968325794,0.30144591682121946,0.29488407897861746,0.6,0.9038461538461539,0.4,1.0,0.7972285067873304,3.5279972798117636,0.6033760998158193,0.29927386415119356,0.31522085255600873,,,,,,,,
classification,03_global_prototypes,main,billing,0,natural,1,4,configured,balanced,1.0,50,208,0.7163461538461539,0.31889140271493216,0.24321266968325794,0.30144591682121946,0.29488407897861746,0.6,0.9038461538461539,0.4,1.0,0.7972285067873304,3.5279972798117636,0.6033760998158193,0.29927386415119356,0.31522085255600873,,,,,,,,
classification,03_global_prototypes,main,billing,0,natural,1,4,configured,natural,1.0,5,208,0.7163461538461539,0.31889140271493216,0.24321266968325794,0.30144591682121946,0.29488407897861746,0.6,0.9038461538461539,0.4,1.0,0.7972285067873304,3.5279972798117636,0.6033760998158193,0.29927386415119356,0.31522085255600873,,,,,,,,
classification,03_global_prototypes,main,billing,0,natural,1,4,configured,natural,1.0,20,208,0.7163461538461539,0.31889140271493216,0.24321266968325794,0.30144591682121946,0.29488407897861746,0.6,0.9038461538461539,0.4,1.0,0.7972285067873304,3.5279972798117636,0.6033760998158193,0.29927386415119356,0.31522085255600873,,,,,,,,
classification,03_global_prototypes,main,billing,0,natural,1,4,configured,natural,1.0,50,208,0.7163461538461539,0.31889140271493216,0.24321266968325794,0.30144591682121946,0.29488407897861746,0.6,0.9038461538461539,0.4,1.0,0.7972285067873304,3.5279972798117636,0.6033760998158193,0.29927386415119356,0.31522085255600873,,,,,,,,
regression,03_global_prototypes,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,1164.7832956402178,918.2503782551703,0.9131591625878047,-0.06456664012318081,-0.06456664012318059,0.14644224072149703,0.25961538461538464,1280.0134077025532
classification,03_global_prototypes,main,billing,0,natural,2,7,configured,balanced,1.0,5,208,0.8269230769230769,0.36414027149321265,0.29348919054801403,0.33955301269443944,0.3482493998661158,0.6,0.9038461538461539,0.38529411764705884,0.9632352941176471,0.9471153846153846,3.4837256519868283,0.5747036431635342,0.39697070763661313,0.21187530429738288,,,,,,,,
classification,03_global_prototypes,main,billing,0,natural,2,7,configured,balanced,1.0,20,208,0.8269230769230769,0.36414027149321265,0.29348919054801403,0.33955301269443944,0.3482493998661158,0.6,0.9038461538461539,0.4,1.0,0.9103506787330317,3.4837256519868283,0.5747036431635342,0.39697070763661313,0.21187530429738288,,,,,,,,
classification,03_global_prototypes,main,billing,0,natural,2,7,configured,balanced,1.0,50,208,0.8269230769230769,0.36414027149321265,0.29348919054801403,0.33955301269443944,0.3482493998661158,0.6,0.9038461538461539,0.4,1.0,0.9103506787330317,3.4837256519868283,0.5747036431635342,0.39697070763661313,0.21187530429738288,,,,,,,,
